--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 1413b34 · 2026-07-24 17:22:14 UTC
  ~ auto-generated — do not edit
]]


"lang"
{
	"Language"		"portuguese"

"modifier_morphling_15_0"		"<b><font color='#ff0000'>Remove Waveform, Adaptive Strike e Attribute Shift.</font></b> <br><br> 3 Novas Habilidades Ativas: Waterraze <br><br> O herói cria um gêiser diretamente à sua frente, causando dano a todos os inimigos na área. Aplica um efeito cumulativo que aumenta o dano desta habilidade a cada acerto, além de reduzir a velocidade de movimento e de giro. Máximo de acúmulos: 9 <br><br> Dano Base: 80/160/240 <br> Dano Adicional por Acerto: 2% da Mana Atual <br> Lentidão de Movimento: 12% <br> Lentidão de Giro: 30% <br> Duração do Efeito: 8 s <br> Recarga: 13 s"
"modifier_morphling_15_1"		"<b><font color='#ff0000'>Remove Waveform, Adaptive Strike e Attribute Shift.</font></b> <br><br> 3 Novas Habilidades Ativas: <b><font color='#eabe10'>Waterraze</font></b> <br><br> O herói cria um gêiser diretamente à sua frente, causando dano a todos os inimigos na área. Aplica um efeito cumulativo que aumenta o dano desta habilidade a cada acerto, além de reduzir a velocidade de movimento e de giro. Máximo de acúmulos: 9 <br><br> Dano Base: <b><font color='#eabe10'>80</font></b>/160/240 <br> Dano Adicional por Acerto: <b><font color='#eabe10'>2%</font></b> da Mana Atual <br> Lentidão de Movimento: 12% <br> Lentidão de Giro: 30% <br> Duração do Efeito: 8 s <br> Recarga: 13 s"
"modifier_morphling_15_2"		"<b><font color='#ff0000'>Remove Waveform, Adaptive Strike e Attribute Shift.</font></b> <br><br> 3 Novas Habilidades Ativas: <b><font color='#eabe10'>Waterraze</font></b> <br><br> O herói cria um gêiser diretamente à sua frente, causando dano a todos os inimigos na área. Aplica um efeito cumulativo que aumenta o dano desta habilidade a cada acerto, além de reduzir a velocidade de movimento e de giro. Máximo de acúmulos: 9 <br><br> Dano Base: 80/<b><font color='#eabe10'>160</font></b>/240 <br> Dano Adicional por Acerto: <b><font color='#eabe10'>2%</font></b> da Mana Atual <br> Lentidão de Movimento: 12% <br> Lentidão de Giro: 30% <br> Duração do Efeito: 8 s <br> Recarga: 13 s"
"modifier_morphling_15_3"		"<b><font color='#ff0000'>Remove Waveform, Adaptive Strike e Attribute Shift.</font></b> <br><br> 3 Novas Habilidades Ativas: <b><font color='#eabe10'>Waterraze</font></b> <br><br> O herói cria um gêiser diretamente à sua frente, causando dano a todos os inimigos na área. Aplica um efeito cumulativo que aumenta o dano desta habilidade a cada acerto, além de reduzir a velocidade de movimento e de giro. Máximo de acúmulos: 9 <br><br> Dano Base: 80/160/<b><font color='#eabe10'>240</font></b> <br> Dano Adicional por Acerto: <b><font color='#eabe10'>2%</font></b> da Mana Atual <br> Lentidão de Movimento: 12% <br> Lentidão de Giro: 30% <br> Duração do Efeito: 8 s <br> Recarga: 13 s"

"modifier_morphling_16_0"		"Aumenta o Dano de Habilidades em 1% para cada 100 de Mana Máxima"
"modifier_morphling_16_1"		"Aumenta o Dano de Habilidades em <b><font color='#eabe10'>1%</font></b> para cada <b><font color='#eabe10'>100 de Mana Máxima</font></b>"

"modifier_morphling_17_0" "Redução do tempo de recarga do Waterraze: 2,5/5/7,5 segundos"
"modifier_morphling_17_1" "Redução do tempo de Recarga do Waterraze: <b><font color='#eabe10'>2,5</font></b>/5/7,5 segundos"
"modifier_morphling_17_2" "Redução do tempo de Recarga do Waterraze: 2,5/<b><font color='#eabe10'>5</font></b>/7,5 segundos"
"modifier_morphling_17_3" "Redução do tempo de Recarga do Waterraze: 2,5/5/<b><font color='#eabe10'>7,5</font></b> segundos"

		"modifier_morphling_18_0"		"Cada habilidade inimiga lançada durante Morph cria um Waterraze enfraquecido no alvo mais próximo, priorizando Heróis. Entra em recarga de 3 s após ativar três vezes. <br><br> Dano: 50% do Dano de Waterraze <br> Raio: 900"
		"modifier_morphling_18_1"		"Cada habilidade inimiga lançada durante Morph cria um <b><font color='#eabe10'>Waterraze</font></b> enfraquecido no alvo mais próximo, priorizando Heróis. Entra em recarga de 3 s após ativar três vezes. <br><br> Dano: <b><font color='#eabe10'>50%</font></b> do Dano de Waterraze <br> Raio: 900"

"modifier_morphling_19_0" "O efeito de acúmulo de Waterterraze não pode ser dissipado. <br><br> Aumentar a duração do Morph: 10/20 segundos"
"modifier_morphling_19_1" "Efeito de empilhamento Waterterraze <b><font color='#eabe10'>não pode ser dissipado</font></b>. <br><br> Aumentar a duração do Morph: <b><font color='#eabe10'>10</font></b>/20 segundos"
"modifier_morphling_19_2" "O efeito de empilhamento Waterterraze <b><font color='#eabe10'>não pode ser dissipado</font></b>. <br><br> Aumenta a duração do Morph: 10/<b><font color='#eabe10'>20</font></b> segundos"

		"modifier_morphling_20_0"		"Dano Mágico: 5%/10%/15% <br><br> Lançar Waterraze aumenta a Mana Máxima: 3%/4.5%/6% <br><br> Duração do Efeito: 15 s."
		"modifier_morphling_20_1"		"Dano Mágico: <b><font color='#eabe10'>5%</font></b>/10%/15% <br><br> Lançar Waterraze aumenta a Mana Máxima: <b><font color='#eabe10'>3%</font></b>/4.5%/6% <br><br> Duração do Efeito: 15 s."
		"modifier_morphling_20_2"		"Dano Mágico: 5%/<b><font color='#eabe10'>10%</font></b>/15% <br><br> Lançar Waterraze aumenta a Mana Máxima: 3%/<b><font color='#eabe10'>4.5%</font></b>/6% <br><br> Duração do Efeito: 15 s."
		"modifier_morphling_20_3"		"Dano Mágico: 5%/10%/<b><font color='#eabe10'>15%</font></b> <br><br> Lançar Waterraze aumenta a Mana Máxima: 3%/4.5%/<b><font color='#eabe10'>6%</font></b> <br><br> Duração do Efeito: 15 s."

"modifier_morphling_21_0" "1 Vida para cada 2 Mana Máxima <br><br> Velocidade de Movimento: 50"
"modifier_morphling_21_1" "<b><font color='#eabe10'>1</font></b> de Vida para cada <b><font color='#eabe10'>2 de Mana máximo</font></b> <br><br> Velocidade de movimento: <b><font color='#eabe10'>50</font></b>"

		//TALENTS ORACLE


"modifier_oracle_1_0" "Força: 5/10/15 <br><br> Dano base: 5/10/15"
"modifier_oracle_1_1" "Força: <b><font color='#eabe10'>5</font></b>/10/15 <br><br> Dano base: <b><font color='#eabe10'>5</font></b>/10/15"
"modifier_oracle_1_2" "Força: 5/<b><font color='#eabe10'>10</font></b>/15 <br><br> Dano base: 5/<b><font color='#eabe10'>10</font></b>/15"
"modifier_oracle_1_3" "Força: 5/10/<b><font color='#eabe10'>15</font></b> <br><br> Dano base: 5/10/<b><font color='#eabe10'>15</font></b>"

"modifier_oracle_2_0" "0,2 de regeneração de saúde para cada 1 de força"
"modifier_oracle_2_1" "<b><font color='#eabe10'>0,2</font></b> de regeneração de saúde para cada <b><font color='#eabe10'>1 de força</font></b>"

"modifier_oracle_3_0" "<b><font color='#ff0000'>Redução de saúde: 3%/6%/9%</font></b> <br><br> Força: 4%/8%/12%"
"modifier_oracle_3_1" "<b><font color='#ff0000'>Redução de saúde: <b><font color='#eabe10'>3%</font></b>/6%/9%</font></b> <br><br> Intensidade: <b><font color='#eabe10'>4%</font></b>/8%/12%"
"modifier_oracle_3_2" "<b><font color='#ff0000'>Redução de saúde: 3%/<b><font color='#eabe10'>6%</font></b>/9%</font></b> <br><br> Força: 4%/<b><font color='#eabe10'>8%</font></b>/12%"
"modifier_oracle_3_3" "<b><font color='#ff0000'>Redução da saúde: 3%/6%/<b><font color='#eabe10'>9%</font></b></font></b> <br><br> Força: 4%/8%/<b><font color='#eabe10'>12%</font></b>"

"modifier_oracle_4_0" "<b><font color='#ff0000'>Redução de Vida: 3%/6%/9%</font></b> <br><br> 1% de Dano Mágico a cada 8/12/4 Força"
"modifier_oracle_4_1" "<b><font color='#ff0000'>Redução da Vida: <b><font color='#eabe10'>3%</font></b>/6%/9%</font></b> <br><br> <b><font color='#eabe10'>1%</font></b> Dano Mágico para cada <b><font color='#eabe10'>12 </font></b>/8/4 <b><font color='#eabe10'>Força</font></b>"
"modifier_oracle_4_2" "<b><font color='#ff0000'>Redução da Vida: 3%/<b><font color='#eabe10'>6%</font></b>/9%</font></b> <br><br> <b><font color='#eabe10'>1%</font></b> Dano Mágico para cada 12/<b><font color='#eabe10'>8</font></b>/4 <b><font color='#eabe10'>Força</font></b>"
"modifier_oracle_4_3" "<b><font color='#ff0000'>Redução da Vida: 3%/6%/<b><font color='#eabe10'>9%</font></b></font></b> <br><br> <b><font color='#eabe10'>1%</font></b> Dano Mágico para cada 8/12/<b><font color='#eabe10'>4</font></b> <b><font color='#eabe10'>Força</font></b>"

"modifier_oracle_5_0"		"False Promise reduz todo o dano recebido: 15%/30%"
"modifier_oracle_5_1"		"False Promise reduz todo o dano recebido: <b><font color='#eabe10'>15%</font></b>/30%"
"modifier_oracle_5_2"		"False Promise reduz todo o dano recebido: 15%/<b><font color='#eabe10'>30%</font></b>"

"modifier_oracle_6_0" "Aumenta a cura das chamas purificadoras por segundo: 10% da força"
"modifier_oracle_6_1" "Aumenta a cura das chamas purificadoras por segundo: <b><font color='#eabe10'>10%</font></b> de força"

"modifier_oracle_7_0" "<b><font color='#ff0000'>Remover o Édito do Destino.</font></b> <br><br> Nova habilidade ativa: Mudança do destino <br><br> Distorce o destino do alvo selecionado, enquanto o efeito estiver ativo, toda Cura Recebida causa Dano Puro e todo Dano Recebido - Cura. Não pode ser dissipado.<br><br> Duração: 5 segundos <br> Tempo de Recarga: 18 segundos"
"modifier_oracle_7_1" "<b><font color='#ff0000'>Remover o decreto do destino.</font></b> <br><br> Nova habilidade ativa: <b><font color='#eabe10'> Mudança de Destino</font></b> <br><br> Distorce o destino do alvo selecionado, enquanto o efeito estiver ativo, toda Cura Recebida causa Dano Puro e todo Dano Recebido - Cura. Não pode ser dissipado.<br><br> Duração: 5 segundos <br> Tempo de Recarga: 18 segundos"

"modifier_oracle_8_0" "Velocidade de ataque aumentada em alvos do Fim da Fortuna: 35/70/105 <br><br> Duração: 8 segundos"
"modifier_oracle_8_1" "Velocidade de ataque aumentada em alvos do Fortune's End: <b><font color='#eabe10'>35</font></b>/70/105 <br><br> Duração: 8 segundos"
"modifier_oracle_8_2" "Velocidade de ataque aumentada em alvos do Fortune's End: 35/<b><font color='#eabe10'>70</font></b>/105 <br><br> Duração: 8 segundos"
"modifier_oracle_8_3" "Velocidade de ataque aumentada em alvos do Fortune's End: 35/70/<b><font color='#eabe10'>105</font></b> <br><br> Duração: 8 segundos"

"modifier_oracle_9_0" "Fortune's End pode ser lançado em uma área. <br><br> Aumentar o alcance de Fortune's End: 100/200"
"modifier_oracle_9_1" "Fortune's End pode ser lançado <b><font color='#eabe10'>em uma área</font></b>. <br><br> Aumenta o alcance de Fortune's End: <b><font color='#eabe10'>100</font></b>/200"
"modifier_oracle_9_2" "Fortune's End pode ser lançado <b><font color='#eabe10'>em uma área</font></b>. <br><br> Aumenta o alcance de Fortune's End: 100/<b><font color='#eabe10'>200</font></b>"

"modifier_oracle_10_0" "Fortune's End não precisa ser sustentado, ele é ativado instantaneamente e com potência máxima. <br><br> Dano Base: 11"
"modifier_oracle_10_1" "Fortune's End não precisa ser sustentado, ele ocorre instantaneamente e com poder <b><font color='#eabe10'>máximo</font></b>. <br><br> Dano base: <b><font color='#eabe10'>11</font></b>"

"modifier_oracle_11_0" "Fortune's End não custa mana. <br><br> Fortune's End causa Dano Físico, não Mágico. <br><br> Aumenta o Dano de Fortune's End: 150%/200%/250% de Agilidade"
"modifier_oracle_11_1" "Fortune's End <b><font color='#eabe10'>não custa</font></b> mana. <br><br> Ofertas Fortune's End <b><font color='#eabe10'>Dano</font></b> físico, não mágico. <br><br> Aumente o dano do Fim da Fortuna: <b><font color='#eabe10'>150%</font></b>/200%/250% de Agilidade"
"modifier_oracle_11_2" "Fortune's End <b><font color='#eabe10'>não custa</font></b> mana. <br><br> Ofertas Fortune's End <b><font color='#eabe10'>Dano</font></b> físico, não mágico. <br><br> Aumenta o dano do Fim da Fortuna: 150%/<b><font color='#eabe10'>200%</font></b>/250% de Agilidade"
"modifier_oracle_11_3" "Fortune's End <b><font color='#eabe10'>não custa</font></b> mana. <br><br> Ofertas Fortune's End <b><font color='#eabe10'>Dano</font></b> físico, não mágico. <br><br> Aumenta o dano do Fim da Fortuna: 150%/200%/<b><font color='#eabe10'>250%</font></b> de Agilidade"

"modifier_oracle_12_0" "Aumenta a duração do decreto do destino: 1 segundo"
"modifier_oracle_12_1" "Aumenta a duração do decreto do destino: <b><font color='#eabe10'>1</font></b> segundos"

"modifier_oracle_13_0" "<b><font color='#ff0000'>Remova Chamas Purificadoras.</font></b> <br><br> Roubo de Vida: 6%/12%/18% <br><br> Roubo de Vida Mágica: 6%/12%/18%"
"modifier_oracle_13_1" "<b><font color='#ff0000'>Remova Chamas Purificadoras.</font></b> <br><br> Roubo de Vida: <b><font color='#eabe10'>6% </font></b>/12%/18% <br><br> Feitiço Roubo de Vida: <b><font color='#eabe10'>6%</font></b>/12%/18%"
"modifier_oracle_13_2" "<b><font color='#ff0000'>Remova Chamas Purificadoras.</font></b> <br><br> Roubo de Vida: 6%/<b><font color='#eabe10'>12%</font></b>/18% <br><br> Roubo de Vida de Feitiço: 6%/<b><font color='#eabe10'>12%</font></b>/18%"
"modifier_oracle_13_3" "<b><font color='#ff0000'>Remova Chamas Purificadoras.</font></b> <br><br> Roubo de Vida: 6%/12%/<b><font color='#eabe10'>18%</font></b> <br><br> Roubo de Vida do Feitiço: 6%/12%/<b><font color='#eabe10'>18%</font></b>"

"modifier_oracle_14_0"		"Nova Habilidade Passiva: Diviner's Deck <br><br> Ao obter esta habilidade e a cada 90 s. depois disso, o herói compra uma carta de tarô aleatória. Ele sempre sabe qual será a próxima carta. Apenas uma carta pode estar ativa por vez. <br><br> <b>«Morte»</b>: +40% de Dano de Habilidades <br><b>«Louco»</b>: +20% de Ouro Obtido <br><b>«Mundo»</b>: +40% de Inteligência <br><b>«Amantes»</b>: +40% de Amplificação de Cura <br><b>«Torre»</b>: Barreira contra todos os tipos de dano com 400 de vida (regenera se não receber dano por 7 s.)"
"modifier_oracle_14_1"		"Nova Habilidade Passiva: <b><font color='#eabe10'>Diviner's Deck</font></b> <br><br> Ao obter esta habilidade e a cada 90 s. depois disso, o herói compra uma carta de tarô aleatória. Ele sempre sabe qual será a próxima carta. Apenas uma carta pode estar ativa por vez. <br><br> <b>«Morte»</b>: <b><font color='#eabe10'>+40%</font></b> de Dano de Habilidades <br><b>«Louco»</b>: <b><font color='#eabe10'>+20%</font></b> de Ouro Obtido <br><b>«Mundo»</b>: <b><font color='#eabe10'>+40%</font></b> de Inteligência <br><b>«Amantes»</b>: <b><font color='#eabe10'>+40%</font></b> de Amplificação de Cura <br><b>«Torre»</b>: Barreira contra todos os tipos de dano com <b><font color='#eabe10'>400</font></b> de vida (regenera se não receber dano por 7 s.)"

"modifier_oracle_15_0" "Se houver criaturas dentro de um raio de 300 do alvo das Chamas Purificadoras, a habilidade será desencadeada neles mais 1/2 vezes.<br><br> Cada nível de herói aumenta o Dano Mágico: 0,5%"
"modifier_oracle_15_1" "Se houver criaturas dentro de um raio de 300 do alvo das Chamas Purificadoras, a habilidade será desencadeada nelas mais <b><font color='#eabe10'>1</font></b>/2 vezes. <br><br> Cada nível de herói aumenta o Dano Mágico: <b><font color='#eabe10'>0.5%</font></b>"
"modifier_oracle_15_2" "Se houver criaturas dentro de um raio de 300 do alvo das Chamas Purificadoras, a habilidade será desencadeada neles mais 1/<b><font color='#eabe10'>2</font></b> vezes. <br><br> Cada nível de herói aumenta o Dano Mágico: <b><font color='#eabe10'>0.5%</font></b>"

"modifier_oracle_16_0" "Resistência Mágica: 3%/6%/9% <br><br> Armadura: 2/4/6"
"modifier_oracle_16_1" "Resistência Mágica: <b><font color='#eabe10'>3%</font></b>/6%/9% <br><br> Armadura: <b><font color='#eabe10'>2</font></b>/4/6"
"modifier_oracle_16_2" "Resistência Mágica: 3%/<b><font color='#eabe10'>6%</font></b>/9% <br><br> Armadura: 2/<b><font color='#eabe10'>4</font></b>/6"
"modifier_oracle_16_3" "Resistência mágica: 3%/6%/<b><font color='#eabe10'>9%</font></b> <br><br> Armadura: 2/4/<b><font color='#eabe10'>6</font></b>"

"modifier_oracle_17_0"		"Nova Habilidade Ativa: Rain of Destiny <br><br> O herói invoca uma chuva ao seu redor que causa dano aos inimigos e cura aliados. Toda a cura recebida sob a chuva é reduzida para inimigos e aumentada para aliados. <br><br> Dano/Cura por Segundo: 30 + 80% da Regeneração de Mana <br> Modificação de Cura: 15% <br> Duração: 10 s. <br> Raio: 650 <br> Tempo de Recarga: 40 s. <br> Custo de Mana: 150"
"modifier_oracle_17_1"		"Nova Habilidade Ativa: <b><font color='#eabe10'>Rain of Destiny</font></b> <br><br> O herói invoca uma chuva ao seu redor que causa dano aos inimigos e cura aliados. Toda a cura recebida sob a chuva é reduzida para inimigos e aumentada para aliados. <br><br> Dano/Cura por Segundo: <b><font color='#eabe10'>30</font></b> + <b><font color='#eabe10'>80%</font></b> da Regeneração de Mana <br> Modificação de Cura: <b><font color='#eabe10'>15%</font></b> <br> Duração: 10 s. <br> Raio: 650 <br> Tempo de Recarga: 40 s. <br> Custo de Mana: 150"

"modifier_oracle_18_0" "Quando a Falsa Promessa termina, os inimigos em um raio de 500 recebem Dano Puro igual a 20%/30%/40% do Dano Sofrido pelo Herói durante a duração da habilidade.<br><br> <b> <font color='#ff0000'>O dano máximo da habilidade é 2.000.</font></b>"
"modifier_oracle_18_1" "Quando a Falsa Promessa termina, os inimigos em um raio de 500 recebem Dano Puro igual a <b><font color='#eabe10'>20%</font></b>/30%/40% do Dano Recebedo pelo Herói durante a duração da habilidade.<br><br> <b><font color='#ff0000'>O dano máximo da habilidade é 2.000.</font></b>"
"modifier_oracle_18_2" "Quando a Falsa Promessa termina, os inimigos em um raio de 500 recebem Dano Puro igual a 20%/<b><font color='#eabe10'>30%</font></b>/40% do Dano Recebedo pelo Herói durante a duração da habilidade.<br><br> <b><font color='#ff0000'>O dano máximo da habilidade é 2.000.</font></b>"
"modifier_oracle_18_3" "Quando a Falsa Promessa termina, os inimigos em um raio de 500 recebem Dano Puro igual a 20%/30%/<b><font color='#eabe10'>40%</font></b> do Dano Recebedo pelo Herói durante a duração da habilidade.<br><br> <b><font color='#ff0000'>O dano máximo da habilidade é 2.000.</font></b>"

"modifier_oracle_19_0" "Redução do tempo de Recarga da falsa promessa: 6/12 segundos"
"modifier_oracle_19_1" "Redução do tempo de Recarga da falsa promessa: <b><font color='#eabe10'>6</font></b>/12 segundos"
"modifier_oracle_19_2" "Redução do tempo de Recarga da falsa promessa: 6/<b><font color='#eabe10'>12</font></b> segundos"

"modifier_oracle_20_0" "Chamas Purificadoras não Curam Inimigos. <br><br> Aumenta o Dano das Chamas Purificadoras: 40%/80% da Regeneração de Mana"
"modifier_oracle_20_1" "Chamas Purificadoras não curam inimigos. <br><br> Aumenta o dano das Chamas Purificadoras: <b><font color='#eabe10'>40%</font></b>/80% da Regeneração de Mana"
"modifier_oracle_20_2" "Chamas Purificadoras não curam inimigos. <br><br> Aumenta o dano das Chamas Purificadoras: 40%/<b><font color='#eabe10'>80%</font></b> da Regeneração de Mana"

"modifier_oracle_21_0" "Se a Falsa Promessa não estiver em recarga, a habilidade será ativada automaticamente com 1 de Vida. <br><br> Ao final do efeito da Falsa Promessa, o herói não pode morrer. Em vez disso, ele fica com 10% de sua Saúde Máxima."
"modifier_oracle_21_1" "Se False Promise não estiver em recarga, a habilidade será <b><font color='#eabe10'>automaticamente</font></b> ativada com 1 de Vida. <br><br> No final Ao final do efeito da Falsa Promessa, o herói não pode morrer. Em vez disso, ele fica com <b><font color='#eabe10'>10%</font></b> de sua Saúde Máxima."

		//TALENTS DISRUPTOR


"modifier_disruptor_1_0" "Diminuir intervalo de trovães: 0.75/1.5"
"modifier_disruptor_1_1" "Diminuir intervalo de trovões: <b><font color='#eabe10'>0.75</font></b>/1.5"
"modifier_disruptor_1_2" "Diminuir intervalo de trovões: 0.75/<b><font color='#eabe10'>1.5</font></b>"

"modifier_disruptor_2_0" "Aumentar os golpes do Thunder Strike: 1/2/3"
"modifier_disruptor_2_1" "Aumentar os golpes do Thunder Strike: <b><font color='#eabe10'>1</font></b>/2/3"
"modifier_disruptor_2_2" "Aumentar os golpes do Thunder Strike: 1/<b><font color='#eabe10'>2</font></b>/3"
"modifier_disruptor_2_3" "Aumentar os golpes do Thunder Strike: 1/2/<b><font color='#eabe10'>3</font></b>"

"modifier_disruptor_3_0" "Proc Thunder Strike aumenta a velocidade de ataque do herói: 5/10 <br><br> Duração do efeito: 4 segundos"
"modifier_disruptor_3_1" "Proc Thunder Strike aumenta a velocidade de ataque do herói: <b><font color='#eabe10'>5</font></b>/10 <br><br> Duração do efeito: 4 segundos"
"modifier_disruptor_3_2" "Proc Thunder Strike aumenta a velocidade de ataque do herói: 5/<b><font color='#eabe10'>10</font></b> <br><br> Duração do efeito: 4 segundos"

"modifier_disruptor_4_0" "Ataques têm 40%/60%/80% de chance de aplicar 1 Thunder Strike no alvo."
"modifier_disruptor_4_1" "Ataques têm <b><font color='#eabe10'>40%</font></b>/60%/80% de chance de aplicar <b><font color='#eabe10'>1</font></b> Thunder Strike no alvo."
"modifier_disruptor_4_2" "Ataques têm 40%/<b><font color='#eabe10'>60%</font></b>/80% de chance de aplicar <b><font color='#eabe10'>1</font></b> Thunder Strike no alvo."
"modifier_disruptor_4_3" "Ataques têm 40%/60%/<b><font color='#eabe10'>80%</font></b> de chance de aplicar <b><font color='#eabe10'>1</font></b> Thunder Strike no alvo."

"modifier_disruptor_5_0" "<b><font color='#ff0000'> Duração da tempestade estática reduzida: 3/1 seg. </font></b> <br><br> A tempestade estática impede os inimigos de utilizarem itens."
"modifier_disruptor_5_1" "<b><font color='#ff0000'> Duração da tempestade estática reduzida: <b><font color='#eabe10'>3</font></b>/1 seg. </font></b> <br><br> A tempestade estática impede os inimigos de utilizarem <b><font color='#eabe10'>itens</font></b>."
"modifier_disruptor_5_2" "<b><font color='#ff0000'> Duração da tempestade estática reduzida: 3/<b><font color='#eabe10'>1</font></b> seg. </font></b> <br><br> A tempestade estática impede os inimigos de utilizarem <b><font color='#eabe10'>itens</font></b>."

"modifier_disruptor_6_0"		"Electromagnetic Repulsion causa dano com base na Força em vez da Inteligência."
"modifier_disruptor_6_1"		"Electromagnetic Repulsion causa dano com base na <b><font color='#eabe10'>Força</font></b> em vez da Inteligência."

"modifier_disruptor_7_0" "Golpe do Trovão não pode ser dissipado. <br><br> Dano Mágico: 45%"
"modifier_disruptor_7_1" "Golpe do Trovão <b><font color='#eabe10'>não pode ser dissipado</font></b>. <br><br> Dano Mágico: <b><font color='#eabe10'>45%</font></b>"

"modifier_disruptor_8_0" "Agilidade: 6/12"
"modifier_disruptor_8_1" "Agilidade: <b><font color='#eabe10'>6</font></b>/12"
"modifier_disruptor_8_2" "Agilidade: 6/<b><font color='#eabe10'>12</font></b>"

"modifier_disruptor_9_0" "Inimigos dentro do Campo Cinético recebem Dano Físico a cada 0,5 segundos: 20%/25%/30% do Dano de Ataque"
"modifier_disruptor_9_1" "Inimigos dentro do Campo Cinético recebem Dano Físico a cada 0,5 segundos: <b><font color='#eabe10'>20%</font></b>/25%/30% do Dano de Ataque"
"modifier_disruptor_9_2" "Inimigos dentro do Campo Cinético recebem Dano Físico a cada 0,5 segundos: 20%/<b><font color='#eabe10'>25%</font></b>/30% do Dano de Ataque"
"modifier_disruptor_9_3" "Inimigos dentro do Campo Cinético recebem Dano Físico a cada 0,5 segundos: 20%/25%/<b><font color='#eabe10'>30%</font></b> do Dano de Ataque"

"modifier_disruptor_10_0" "Aliados dentro do Campo Cinético recebem Cura a cada 0,5 segundos: 20%/25%/30% do Dano de Ataque"
"modifier_disruptor_10_1" "Aliados dentro do Campo Cinético recebem Cura a cada 0,5 segundos: <b><font color='#eabe10'>20%</font></b>/25%/30% do Dano de Ataque"
"modifier_disruptor_10_2" "Aliados dentro do Campo Cinético recebem Cura a cada 0,5 segundos: 20%/<b><font color='#eabe10'>25%</font></b>/30% do Dano de Ataque"
"modifier_disruptor_10_3" "Aliados dentro do Campo Cinético recebem Cura a cada 0,5 segundos: 20%/25%/<b><font color='#eabe10'>30%</font></b> do Dano de Ataque"

"modifier_disruptor_11_0" "Diminuir atraso na criação do campo cinético: 1 segundo"
"modifier_disruptor_11_1" "Diminuir atraso na criação do campo cinético: <b><font color='#eabe10'>1</font></b> segundos"

"modifier_disruptor_12_0" "Aumentar a duração do campo cinético: 0,8/1,6 segundos"
"modifier_disruptor_12_1" "Aumenta a duração do campo cinético: <b><font color='#eabe10'>0,8</font></b>/1,6 segundos"
"modifier_disruptor_12_2" "Aumenta a duração do campo cinético: 0,8/<b><font color='#eabe10'>1,6</font></b> segundos"

		"modifier_disruptor_13_0"		"Redução do Tempo de Recarga de Kinetic Field: 4/8 s."
		"modifier_disruptor_13_1"		"Redução do Tempo de Recarga de Kinetic Field: <b><font color='#eabe10'>4</font></b>/8 s."
		"modifier_disruptor_13_2"		"Redução do Tempo de Recarga de Kinetic Field: 4/<b><font color='#eabe10'>8</font></b> s."

"modifier_disruptor_14_0" "O Campo Cinético também cria uma segunda barreira, 2 vezes o tamanho da barreira principal. <br><br> Aliados dentro do Campo Cinético não podem ser retardados."
"modifier_disruptor_14_1" "O Campo Cinético também cria uma segunda barreira, <b><font color='#eabe10'>2</font></b> vezes o tamanho da barreira principal. <br><br> Aliados dentro do Kinetic O campo <b><font color='#eabe10'>não pode</font></b> ser retardado."

"modifier_disruptor_15_0" "<b><font color='#ff0000'>Remove Thunder Strike.</font></b> <br><br> Nova habilidade ativa: Static Mana <br><br> Cria uma tempestade estática que causa Dano Mágico a cada segundo para todas as criaturas inimigas na área especificada. O dano depende da quantidade de sua mana atual. <br><br> Dano por Segundo: 50 + 4%/6%/8% da Mana Atual <br> Raio: 350 <br> Duração: 5 seg. <br> Tempo de recarga: 10 seg. <br> Custo de Mana: 100"
"modifier_disruptor_15_1" "<b><font color='#ff0000'>Remove Thunder Strike.</font></b> <br><br> Nova habilidade ativa: Static Mana <br><br> Cria uma tempestade estática que causa Dano Mágico a cada segundo para todas as criaturas inimigas na área especificada. O dano depende da quantidade de sua mana atual. <br><br> Dano por Segundo: <b><font color='#eabe10'>50</font></b> + <b><font color='#eabe10'>4%</font></b>/6%/8% da Mana Atual <br> Raio: 350 <br> Duração: 5 seg. <br> Tempo de recarga: 10 seg. <br> Custo de Mana: 100"
"modifier_disruptor_15_2" "<b><font color='#ff0000'>Remove Thunder Strike.</font></b> <br><br> Nova habilidade ativa: Static Mana <br><br> Cria uma tempestade estática que causa Dano Mágico a cada segundo para todas as criaturas inimigas na área especificada. O dano depende da quantidade de sua mana atual. <br><br> Dano por Segundo: <b><font color='#eabe10'>50</font></b> + 4%/<b><font color='#eabe10'>6%</font></b>/8% da Mana Atual <br> Raio: 350 <br> Duração: 5 seg. <br> Tempo de recarga: 10 seg. <br> Custo de Mana: 100"
"modifier_disruptor_15_3" "<b><font color='#ff0000'>Remove Thunder Strike.</font></b> <br><br> Nova habilidade ativa: Static Mana <br><br> Cria uma tempestade estática que causa Dano Mágico a cada segundo para todas as criaturas inimigas na área especificada. O dano depende da quantidade de sua mana atual. <br><br> Dano por Segundo: <b><font color='#eabe10'>50</font></b> + 4%/6%/<b><font color='#eabe10'>8%</font></b> da Mana Atual <br> Raio: 350 <br> Duração: 5 seg. <br> Tempo de recarga: 10 seg. <br> Custo de Mana: 100"

"modifier_disruptor_16_0"		"Glimpse sempre causa dano máximo."
