--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 0b85d8d 
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
DOTA_Tooltip_sl_modifier_rune_ranger_pro_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>最大生命值百分比：【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>总攻击力：【+%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>承受伤害：【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Max Health Percentage: 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>Total Damage Percentage: 【+%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Incoming Damage Percentage: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Бонус к макс. здоровью (%): 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>Общий урон: 【+%dMODIFIER_PROPERTY_DAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Получаемый урон: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,猎魔人
rune_spellblade_pro_desc,<font color='#FFA500'>影舞者（随机符文）</font><br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力<br>每点敏捷或智力提升<font color='#83d18a'> {amp_per_agi_int}%</font> 技能增强<br>伤害输出<font color='#83d18a'> +{pct}%</font> <br>生命值<font color='#83d18a'> -{smI}%</font> ,Shadow Dancer<br>Agi grants <font color='#ffffff'>{batk_per_agi}</font>  Base Atk<br> Agi/Int grant <font color='#ffffff'>{amp_per_agi_int}%</font>  Spell Amp. Damage Output +<font color='#ffffff'>{pct}%</font> <br> HP -<font color='#ffffff'>{smI}%</font> ,Танцор теней<br>Ловкость даёт <font color='#ffffff'>{batk_per_agi}</font>  к баз. урону<br> ловкость/инт. — <font color='#ffffff'>{amp_per_agi_int}%</font>  к усилению. Урон +<font color='#ffffff'>{pct}%</font> <br> HP -<font color='#ffffff'>{smI}%</font> ,影舞者
DOTA_Tooltip_sl_modifier_rune_spellblade_pro,<font color='#FFD700'>影舞者（随机符文）</font>,<font color='#FFD700'>Shadow Dancer</font>,<font color='#FFD700'>Танцор теней</font>,影舞者
DOTA_Tooltip_sl_modifier_rune_spellblade_pro_description,<font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>伤害输出：【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>最大生命值百分比：【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,<font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Total Damage Output Percentage: 【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Max Health Percentage: 【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,<font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Исходящий урон: 【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Бонус к макс. здоровью (%): 【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,影舞者
rune_wizard_pro_desc,<font color='#FFA500'>大法师（随机符文）</font><br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>冷却时间减少<font color='#83d18a'> +{pct}%</font> <br>生命值<font color='#83d18a'> -{smI}%</font> ,Archmage<br>Int grants <font color='#ffffff'>{amp_per_int}%</font>  Spell Amp<br> CDR +<font color='#ffffff'>{pct}%</font> <br> HP -<font color='#ffffff'>{smI}%</font> ,Архимаг<br>Интеллект даёт <font color='#ffffff'>{amp_per_int}%</font>  к усилению<br> сокр. перезарядки +<font color='#ffffff'>{pct}%</font> <br> HP -<font color='#ffffff'>{smI}%</font> ,大法师
DOTA_Tooltip_sl_modifier_rune_wizard_pro,<font color='#FFD700'>大法师（随机符文）</font>,<font color='#FFD700'>Archmage</font>,<font color='#FFD700'>Архимаг</font>,大法师
DOTA_Tooltip_sl_modifier_rune_wizard_pro_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>冷却时间减少：【+%dMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%%】</font><br><font color='#808080'>最大生命值百分比：【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,<font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Cooldown Reduction Percentage: 【+%dMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%%】</font><br><font color='#808080'>Max Health Percentage: 【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,<font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Сокращение перезарядки: 【+%dMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%%】</font><br><font color='#808080'>Бонус к макс. здоровью (%): 【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,大法师
rune_magic_warrior_pro_desc,<font color='#FFA500'>血法师（随机符文）</font><br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或力量提升<font color='#83d18a'> {hp_per_int_str}</font> 生命值<br>生命值和伤害输出<font color='#83d18a'> +{pct}%</font> <br>承受伤害<font color='#83d18a'> +{csshI}%</font> ,Blood Mage<br>Int grants <font color='#ffffff'>{amp_per_int}%</font>  Spell Amp<br> Int/Str grant <font color='#ffffff'>{hp_per_int_str}</font>  HP. HP and Damage Output +<font color='#ffffff'>{pct}%</font> <br> Incoming Damage +<font color='#ffffff'>{csshI}%</font> ,Маг крови<br>Инт. даёт <font color='#ffffff'>{amp_per_int}%</font>  к усилению<br> инт./сила — <font color='#ffffff'>{hp_per_int_str}</font>  к HP. HP и урон +<font color='#ffffff'>{pct}%</font> <br> получаемый урон +<font color='#ffffff'>{csshI}%</font> ,血法师
DOTA_Tooltip_sl_modifier_rune_magic_warrior_pro,<font color='#FFD700'>血法师（随机符文）</font>,<font color='#FFD700'>Blood Mage</font>,<font color='#FFD700'>Маг крови</font>,血法师
DOTA_Tooltip_sl_modifier_rune_magic_warrior_pro_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>最大生命值百分比：【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>伤害输出：【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>承受伤害：【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Max Health Percentage: 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>Total Damage Output Percentage: 【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Incoming Damage Percentage: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Бонус к макс. здоровью (%): 【+%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font><br><font color='#FFA500'>Исходящий урон: 【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Получаемый урон: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,血法师
rune_magic_archer_pro_desc,<font color='#FFA500'>附魔使（随机符文）</font><br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或敏捷提升<font color='#83d18a'> {batk_per_int_agi}</font> 基础攻击力<br>攻击速度<font color='#83d18a'> +{pct}%</font> <br>生命值<font color='#83d18a'> -{smI}%</font> ,Enchanter<br>Int grants <font color='#ffffff'>{amp_per_int}%</font>  Spell Amp<br> Int/Agi grant <font color='#ffffff'>{batk_per_int_agi}</font>  Base Atk. Attack Speed +<font color='#ffffff'>{pct}%</font> <br> HP -<font color='#ffffff'>{smI}%</font> ,Заклинатель<br>Инт. даёт <font color='#ffffff'>{amp_per_int}%</font>  к усилению<br> инт./ловк. — <font color='#ffffff'>{batk_per_int_agi}</font>  к урону. Скорость атаки +<font color='#ffffff'>{pct}%</font> <br> HP -<font color='#ffffff'>{smI}%</font> ,附魔使
DOTA_Tooltip_sl_modifier_rune_magic_archer_pro,<font color='#FFD700'>附魔使（随机符文）</font>,<font color='#FFD700'>Enchanter</font>,<font color='#FFD700'>Заклинатель</font>,附魔使
DOTA_Tooltip_sl_modifier_rune_magic_archer_pro_description,<font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>攻击速度：【+%dMODIFIER_PROPERTY_ATTACKSPEED_PERCENTAGE%%%】</font><br><font color='#808080'>最大生命值百分比：【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,<font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Attack Speed Percentage: 【+%dMODIFIER_PROPERTY_ATTACKSPEED_PERCENTAGE%%%】</font><br><font color='#808080'>Max Health Percentage: 【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,<font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Скорость атаки: 【+%dMODIFIER_PROPERTY_ATTACKSPEED_PERCENTAGE%%%】</font><br><font color='#808080'>Бонус к макс. здоровью (%): 【-%dMODIFIER_PROPERTY_EXTRA_HEALTH_PERCENTAGE%%%】</font>,附魔使
rune_universal_pro_desc,<font color='#FFA500'>大宗师（随机符文）</font><br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>伤害输出<font color='#83d18a'> +{pct}%</font> <br>承受伤害<font color='#83d18a'> +{csshI}%</font> ,Grandmaster<br>Str grants <font color='#ffffff'>{hp_per_str}</font>  HP<br> Agi grants <font color='#ffffff'>{batk_per_agi}</font>  Base Atk<br> Int grants <font color='#ffffff'>{amp_per_int}%</font>  Spell Amp. Damage Output +<font color='#ffffff'>{pct}%</font> <br> Incoming Damage +<font color='#ffffff'>{csshI}%</font> ,Грандмастер<br>Сила даёт <font color='#ffffff'>{hp_per_str}</font>  к HP<br> ловкость — <font color='#ffffff'>{batk_per_agi}</font>  к урону<br> инт. — <font color='#ffffff'>{amp_per_int}%</font>  к усилению. Урон +<font color='#ffffff'>{pct}%</font> <br> получаемый урон +<font color='#ffffff'>{csshI}%</font> ,大宗师
DOTA_Tooltip_sl_modifier_rune_universal_pro,<font color='#FFD700'>大宗师（随机符文）</font>,<font color='#FFD700'>Grandmaster</font>,<font color='#FFD700'>Грандмастер</font>,大宗师
DOTA_Tooltip_sl_modifier_rune_universal_pro_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>伤害输出：【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>承受伤害：【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Total Damage Output Percentage: 【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Incoming Damage Percentage: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FFA500'>Исходящий урон: 【+%dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%】</font><br><font color='#808080'>Получаемый урон: 【+%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%】</font>,大宗师
rune_shadow_shaman_desc,蛇影<br>每点智力提升<font color='#83d18a'> {amp_per_int}%</font> 技能增强<br>每点智力或力量提升<font color='#83d18a'> {hp_per_int_str}</font> 生命值<br>每<font color='#83d18a'> 1%</font> 技能增强，群蛇守卫和巨蛇守卫攻击力<font color='#83d18a'> +{ward_atkp_per_amp}%</font> ,,,蛇影
DOTA_Tooltip_sl_modifier_rune_shadow_shaman,<font color='#ffffff'>蛇影</font>,,,蛇影
DOTA_Tooltip_sl_modifier_rune_shadow_shaman_description,<font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#FFA500'>群蛇守卫攻击力：【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font>,,,蛇影
rune_bounty_hunter_desc,盗圣<br>每点力量提升 <font color='#83d18a'>{hp_per_str}</font> 生命值<br>每点敏捷提升 <font color='#83d18a'>{batk_per_agi}</font> 基础攻击力<br>每点智力提升 <font color='#83d18a'>{amp_per_int}%</font> 技能增强<br>忍术窃取金钱 <font color='#83d18a'>+{gold_bonus_pct}%</font> <br>追踪术金钱奖励 <font color='#83d18a'>+{gold_bonus_pct}%</font> ,,,盗圣
DOTA_Tooltip_sl_modifier_rune_bounty_hunter,<font color='#ffffff'>盗圣</font>,,,
DOTA_Tooltip_sl_modifier_rune_bounty_hunter_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#83d18a'>忍术窃取金钱：【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font> <br><font color='#83d18a'>追踪术金钱奖励：【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font> ,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Spell Amp: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#83d18a'>Jinada Gold Steal: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font> <br><font color='#83d18a'>Track Gold Bonus: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#00D7FF'>Урон заклинаний: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font><br><font color='#83d18a'>Кража золота Jinada: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font> <br><font color='#83d18a'>Бонус золота Track: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font>,盗圣
rune_ogre_magi_desc,傻福<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点力量提升<font color='#83d18a'> {amp_per_str}%</font> 技能增强,Dumb Luck<br>Str grants <font color='#ffffff'>{hp_per_str}</font>  HP<br> and Str grants <font color='#ffffff'>{amp_per_str}%</font>  Spell Amp,Dumb Luck<br>Сила даёт <font color='#ffffff'>{hp_per_str}</font>  к HP<br> и сила даёт <font color='#ffffff'>{amp_per_str}%</font>  к усилению,傻福
DOTA_Tooltip_sl_modifier_rune_ogre_magi,<font color='#ffffff'>傻福</font>,<font color='#ffffff'>Dumb Luck</font>,<font color='#ffffff'>Dumb Luck</font>,傻福
DOTA_Tooltip_sl_modifier_rune_ogre_magi_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,傻福
rune_lycan_wolf_desc,狼王<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点力量或敏捷提升<font color='#83d18a'> {batk_per_str_agi}</font> 基础攻击力<br>召狼直接产生的狼继承狼人攻击速度和攻击力的<font color='#83d18a'> {wolf_atk_pct}%</font> 、生命值的<font color='#83d18a'> {wolf_hp_pct}%</font>,Lycan King<br>Each point of Strength grants <font color='#ffffff'>{hp_per_str}</font> Health<br>Strength or Agility grants <font color='#ffffff'>{batk_per_str_agi}</font> Base Attack Damage<br>Wolves directly created by Summon Wolves inherit <font color='#ffffff'>{wolf_atk_pct}%</font> of Lycan's Attack Speed and Attack Damage, and <font color='#ffffff'>{wolf_hp_pct}%</font> of his Health,Король Ликан<br>Каждая единица силы даёт <font color='#ffffff'>{hp_per_str}</font> к здоровью<br>Сила или ловкость даёт <font color='#ffffff'>{batk_per_str_agi}</font> к базовому урону<br>Волки, напрямую созданные способностью «Призыв волков», наследуют <font color='#ffffff'>{wolf_atk_pct}%</font> скорости атаки и урона Ликана, а также <font color='#ffffff'>{wolf_hp_pct}%</font> его здоровья,狼王
DOTA_Tooltip_sl_modifier_rune_lycan_wolf,<font color='#ffffff'>狼王</font>,<font color='#ffffff'>Lycan King</font>,<font color='#ffffff'>Король Ликан</font>,狼王
DOTA_Tooltip_sl_modifier_rune_lycan_wolf_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>狼攻击速度和攻击力继承：【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font><br><font color='#FFA500'>狼生命值继承：【+%fMODIFIER_PROPERTY_TOOLTIP2%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Wolf Attack Speed and Damage Inheritance: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font><br><font color='#FFA500'>Wolf Health Inheritance: 【+%fMODIFIER_PROPERTY_TOOLTIP2%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FFA500'>Наследование скорости атаки и урона волков: 【+%fMODIFIER_PROPERTY_TOOLTIP%%%】</font><br><font color='#FFA500'>Наследуемое здоровье волков: 【+%fMODIFIER_PROPERTY_TOOLTIP2%%%】</font>,狼王
rune_lycan_body_desc,幽灵狼<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点力量或敏捷提升<font color='#83d18a'> {batk_per_str_agi}</font> 基础攻击力<br>变身期间突破移速上限<br>变身期间超过<font color='#83d18a'> {move_speed_baseline}</font> 的移动速度每<font color='#83d18a'> {move_speed_per_as}</font> 点转化为1点攻击速度和攻击力，最多获得<font color='#83d18a'> {atk_speed_cap}</font> 攻击速度；只读取实时移动速度，不改变移动速度上限,Ghost Wolf<br>Each point of Strength grants <font color='#ffffff'>{hp_per_str}</font> Health<br>Strength or Agility grants <font color='#ffffff'>{batk_per_str_agi}</font> Base Attack Damage<br>Lycan breaks MS limit during Shapeshift<br>During Shapeshift every <font color='#ffffff'>{move_speed_per_as}</font> Movement Speed above <font color='#ffffff'>{move_speed_baseline}</font> grants 1 Attack Speed and 1 Attack Damage up to <font color='#ffffff'>{atk_speed_cap}</font> Attack Speed; only real-time Movement Speed is read and the Movement Speed cap is unchanged,Призрачный волк<br>Каждая единица силы даёт <font color='#ffffff'>{hp_per_str}</font> к здоровью<br>Сила или ловкость даёт <font color='#ffffff'>{batk_per_str_agi}</font> к базовому урону<br>Lycan превышает лимит МС во время Shapeshift<br>Во время Превращения каждые <font color='#ffffff'>{move_speed_per_as}</font> единицы скорости передвижения выше <font color='#ffffff'>{move_speed_baseline}</font> дают 1 к скорости атаки и урону до <font color='#ffffff'>{atk_speed_cap}</font> скорости атаки; учитывается только текущая скорость и её предел не меняется,幽灵狼
DOTA_Tooltip_sl_modifier_rune_lycan_body,<font color='#ffffff'>幽灵狼</font>,<font color='#ffffff'>Ghost Wolf</font>,<font color='#ffffff'>Призрачный волк</font>,幽灵狼
DOTA_Tooltip_sl_modifier_rune_lycan_body_description,<font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br>变身期间突破移速上限<br><font color='#FFA500'>转化攻击速度: 【+%fMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%】</font><br><font color='#FFA500'>转化攻击力: 【+%fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%】</font>,<font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br>Lycan breaks MS limit during Shapeshift<br><font color='#FFA500'>Converted Attack Speed: 【+%fMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%】</font><br><font color='#FFA500'>Converted Attack Damage: 【+%fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%】</font>,<font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font><br><font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br>Lycan превышает лимит МС во время Shapeshift<br><font color='#FFA500'>Преобразованная скорость атаки: 【+%fMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%】</font><br><font color='#FFA500'>Преобразованный урон атаки: 【+%fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%】</font>,幽灵狼
