--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 9d26fbd · 2026-08-03 06:18:41 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
bless_100144,恶魔敕令强化,Diabolic Edict Upgrade,Улучшение Diabolic Edict
bless_100145,阴邪凝视强化,Sinister Gaze Upgrade,Улучшение Sinister Gaze
bless_100146,寒霜爆发强化,Frost Blast Upgrade,Улучшение Frost Blast
bless_100147,连环霜冻强化,Chain Frost Upgrade,Улучшение Chain Frost
bless_100148,盛宴成长,Feast Growth,Прирост Feast
bless_100149,狂暴强化,Rage Upgrade,Улучшение Rage
bless_100150,盛宴强化,Feast Upgrade,Улучшение Feast
bless_100151,神灭斩强化,Laguna Blade Upgrade,Улучшение Laguna Blade
bless_100152,腾焰斗篷冷却,Flame Cloak Cooldown,Перезарядка Flame Cloak
bless_100153,龙破斩强化,Dragon Slave Upgrade,Улучшение Dragon Slave
bless_100153a,炽魂强化,Fiery Soul Upgrade,Улучшение Fiery Soul
bless_100154,莱恩增强,Lion Upgrade,Улучшение Lion
bless_100155,死亡一指增伤,Finger of Death Bonus Damage,Доп. урон Finger of Death
bless_100156,死亡一指冷却,Finger of Death Cooldown,Перезарядка Finger of Death
bless_100157,德鲁伊,Lone Druid,Lone Druid
bless_100158,德鲁伊,Lone Druid,Lone Druid
bless_100159,德鲁伊,Lone Druid,Lone Druid
bless_100160,月光施法,Lucent Beam Cast,Lucent Beam (применение)
bless_100161,月刃强化,Moon Glaives Upgrade,Улучшение Moon Glaives
bless_100162,月光伤害,Lucent Beam Damage,Урон Lucent Beam
bless_100162a,环月伤害,Lucent Beam Damage,Урон Lucent Beam
bless_100163,嚎叫强化,Howl Upgrade,Улучшение Howl
bless_100164,野性驱使强化,Feral Impulse Upgrade,Улучшение Feral Impulse
bless_100165,变身强化,Shapeshift Upgrade,Улучшение Shapeshift
bless_100166,震荡波强化,Shockwave Upgrade,Улучшение Shockwave
bless_100167,巨角冲撞强化,Skewer Upgrade,Улучшение Skewer
bless_100168,两极反转冷却,Reverse Polarity Cooldown,Перезарядка Reverse Polarity
bless_100169,护卫术强化,Guardian Sprint Upgrade,Улучшение Guardian Sprint
bless_100170,怒拳破间隔,Unleash Interval,Интервал Unleash
bless_100171,怒拳破强化,Unleash Damage,Урон Unleash
bless_100172,战神迅矛强化,Spear of Mars Upgrade,Улучшение Spear of Mars
bless_100173,神之谴戒强化,God's Rebuke Upgrade,Улучшение God's Rebuke
bless_100174,热血竞技场强化,Arena of Blood Upgrade,Улучшение Arena of Blood
bless_100174a,甲盾反击,Bulwark Rebuke,Bulwark Rebuke
bless_100175,魔法盾强化,Mana Shield Upgrade,Улучшение Mana Shield
bless_100176,秘术异蛇强化,Mystic Snake Upgrade,Улучшение Mystic Snake
bless_100177,石化凝视强化,Stone Gaze Upgrade,Улучшение Stone Gaze
bless_100178,米波,Meepo,Meepo
bless_100179,米波,Meepo,Meepo
bless_100180,米波,Meepo,Meepo
bless_100181,群星风暴强化,Starstorm Upgrade,Улучшение Starstorm
bless_100182,月神之箭强化,Sacred Arrow Upgrade,Улучшение Sacred Arrow
bless_100183,跳跃强化,Leap Upgrade,Улучшение Leap
bless_100183a,月之暗面强化,Moonlight Shadow Reinforcement,Усиление Moonlight Shadow
bless_100184,齐天大圣,Monkey King,Monkey King
bless_100185,齐天大圣,Monkey King,Monkey King
bless_100186,齐天大圣,Monkey King,Monkey King
bless_100187,波浪形态冷却,Waveform Cooldown,Перезарядка Waveform
bless_100188,变体打击强化,Adaptive Strike Upgrade,Улучшение Adaptive Strike
bless_100189,潮落,Adaptive Strike Upgrade,Улучшение Adaptive Strike
bless_100189a,潮涨,Adaptive Strike Upgrade,Улучшение Adaptive Strike
bless_100190,弹无虚发强化,Dead Shot Upgrade,Улучшение Dead Shot
bless_100191,神枪在手强化,Gunslinger Upgrade,Улучшение Gunslinger
bless_100192,越界强化,Pierce the Veil Upgrade,Улучшение Pierce the Veil
bless_100193,诱捕强化,Ensnare Upgrade,Улучшение Ensnare
bless_100194,镜像强化,Mirror Image Upgrade,Улучшение Mirror Image
bless_100195,海妖之歌强化,Song of the Siren Upgrade,Улучшение Song of the Siren
bless_100196,死亡脉冲强化,Death Pulse Upgrade,Улучшение Death Pulse
bless_100197,竭心光环强化,Heartstopper Aura Upgrade,Улучшение Heartstopper Aura
bless_100198,瘟疫法师强化,Necrophos,Necrophos
bless_100199,灵魂盛宴强化,Necromastery (Innate) Upgrade,Улучшение Necromastery (Врождённая)
bless_100200,影魔技能伤害,Shadow Fiend Spell Damage,Урон способностей Shadow Fiend
bless_100201,魂之挽歌冷却,Requiem of Souls Cooldown,Перезарядка Requiem of Souls
bless_100201a,支配死灵（先天）强化,Necromastery (Innate) Upgrade,Улучшение Necromastery (Врождённая)
bless_100202,虚空强化,Void Upgrade,Улучшение Void
bless_100202a,暗夜猎影强化,Night Crawler Upgrade,Улучшение Night Crawler
bless_100203,黑暗飞升强化,Dark Ascension Upgrade,Улучшение Dark Ascension
bless_100204,虚空沉默,Void Silence,Безмолвие от Void
bless_100205,穿刺强化,Impale Upgrade,Улучшение Impale
bless_100206,复仇强化,Vendetta Upgrade,Улучшение Vendetta
bless_100207,神智爆裂强化,Mind Flare Upgrade,Улучшение Mind Flare
bless_100208,责难强化,Essence Flux (Innate) Upgrade,Улучшение Essence Flux (Врождённая)
bless_100209,奥术天球强化,Arcane Orb Upgrade,Улучшение Arcane Orb
bless_100210,神智之蚀强化,Sanity's Eclipse Upgrade,Улучшение Sanity's Eclipse
bless_100211,火焰爆轰强化,Fireblast Upgrade,Улучшение Fireblast
bless_100212,多重施法强化,Multicast Upgrade,Улучшение Multicast
bless_100213,傻福(先天)强化,Dumb Luck (Innate) Upgrade,Улучшение Dumb Luck (Врождённая)
bless_100214,洗礼强化,Purification Upgrade,Улучшение Purification
bless_100215,驱逐强化,Repel Upgrade,Улучшение Repel
bless_100216,圣洁之锤强化,Hammer of Purity Upgrade,Улучшение Hammer of Purity
bless_100217,神谕者,Oracle,Oracle
bless_100218,神谕者,Oracle,Oracle
bless_100219,神谕者,Oracle,Oracle
bless_100220,天佑勇者（先天）强化,Fortune's Favor (Innate) Upgrade,Улучшение Fortune's Favor (Врождённая)
bless_100221,地雷滚滚强化,Rolling Thunder Upgrade,Улучшение Rolling Thunder
bless_100222,虚张声势强化,Swashbuckle Upgrade,Улучшение Swashbuckle
bless_100223,幻影突袭强化,Phantom Strike Upgrade,Улучшение Phantom Strike
bless_100224,魅影无形（先天）强化,Blur (Innate) Upgrade,Улучшение Blur (Врождённая)
bless_100225,恩赐解脱强化,Coup de Grace Upgrade,Улучшение Coup de Grace
bless_100226,幻影长矛手,Phantom Lancer,Phantom Lancer
bless_100227,幻影长矛手,Phantom Lancer,Phantom Lancer
bless_100228,幻影长矛手,Phantom Lancer,Phantom Lancer
bless_100229,烈火精灵强化,Fire Spirits Upgrade,Улучшение Fire Spirits
bless_100230,烈日炙烤强化,Sun Ray Upgrade,Улучшение Sun Ray
bless_100231,超新星强化,Supernova Upgrade,Улучшение Supernova
bless_100232,突强化,Onslaught Upgrade,Улучшение Onslaught
bless_100233,踏强化,Trample Upgrade,Улучшение Trample
bless_100234,咤强化,Pulverize Upgrade,Улучшение Pulverize
bless_100235,梦境缠绕冷却,Dream Coil Upgrade,Улучшение Dream Coil
bless_100236,新月之痕强化,Waning Rift Upgrade,Улучшение Waning Rift
bless_100237,梦境缠绕强化,Dream Coil Upgrade,Улучшение Dream Coil
bless_100238,肉钩冷却,Meat Hook Cooldown,Перезарядка Meat Hook
bless_100239,肉钩距离,Meat Hook Range,Дальность Meat Hook
bless_100240,肉钩伤害,Meat Hook Damage,Урон Meat Hook
bless_100241,幽冥爆轰伤害,Nether Blast Damage,Урон Nether Blast
bless_100242,衰老强化,Decrepify Upgrade,Улучшение Decrepify
bless_100243,生命汲取强化,Life Drain Upgrade,Улучшение Life Drain
bless_100244,痛苦尖叫强化,Scream of Pain Upgrade,Улучшение Scream of Pain
bless_100245,魅魔（先天）强化,Succubus (Innate) Upgrade,Улучшение Succubus (Врождённая)
bless_100246,超声冲击波强化,Sonic Wave Upgrade,Улучшение Sonic Wave
bless_100247,弹幕冲击强化,Battery Assault Upgrade,Улучшение Battery Assault
bless_100248,照明火箭强化,Rocket Flare Upgrade,Улучшение Rocket Flare
bless_100249,发射钩爪强化,Hookshot Upgrade,Улучшение Hookshot
bless_100250,风暴涌动强化,Storm Surge Upgrade,Улучшение Storm Surge
bless_100251,静电连接强化,Static Link Upgrade,Улучшение Static Link
bless_100252,风暴之眼强化,Eye of the Storm Upgrade,Улучшение Eye of the Storm
bless_100253,闪烁突袭强化,Blink Strike Upgrade,Улучшение Blink Strike
bless_100254,绝杀秘技强化,Tricks of the Trade Upgrade,Улучшение Tricks of the Trade
bless_100255,背刺强化,Backstab Upgrade,Улучшение Backstab
bless_100256,尖刀戏冷却,Knifetrick Cooldown,Перезарядка Knifetrick
bless_100257,尖刀戏伤害,Knifetrick Damage,Урон Knifetrick
bless_100258,奇观轮强化,Wheel of Wonder Upgrade,Улучшение Wheel of Wonder
bless_100259,技能窃取强化,Spell Steal Enhancement,Усиление Spell Steal
bless_100260,弱化能流伤害,Fade Bolt Damage,Урон Fade Bolt
bless_100261,奥术至尊强化,Arcane Supremacy Enhancement,Усиление Arcane Supremacy
bless_100262,尾刺强化,Stinger Upgrade,Улучшение Stinger
bless_100263,掘地穿刺冷却,Burrowstrike,Burrowstrike
bless_100264,地震强化,Epicenter Upgrade,Улучшение Epicenter
bless_100265,崩裂禁锢强化,Astral Imprisonment Upgrade,Улучшение Astral Imprisonment
bless_100266,散播强化,Disseminate Upgrade,Улучшение Disseminate
bless_100267,暗影剧毒强化,Shadow Poison Upgrade,Улучшение Shadow Poison
bless_100268,禽戏强化,Animal Frolic Upgrade,Улучшение: Игры зверей
bless_100269,苍穹震击强化,Arc Lightning Upgrade,Улучшение Arc Lightning
bless_100270,群蛇守卫强化,Serpent Ward Upgrade,Улучшение Serpent Ward
bless_100271,活性护甲强化,Reactive Armor Upgrade,Улучшение Reactive Armor
bless_100272,锯齿飞轮强化,Chakram Upgrade,Улучшение Chakram
bless_100273,死亡旋风强化,Whirling Death Upgrade,Улучшение Whirling Death
bless_100273a,伐木工,Lumberjack,Лесоруб
bless_100274,奥术诅咒强化,Arcane Curse Upgrade,Улучшение Arcane Curse
bless_100275,遗言强化,Last Word Upgrade,Улучшение Last Word
bless_100276,全领域静默冷却,Global Silence Cooldown,Перезарядка Global Silence
bless_100277,冥火暴击强化,Wraith Blast Upgrade,Улучшение Wraith Blast
bless_100278,本命一击强化,Mortal Strike Upgrade,Улучшение Mortal Strike
bless_100279,绝冥再生强化,Reincarnation Upgrade,Улучшение Reincarnation
bless_100280,震荡光弹强化,Concussive Shot Upgrade,Улучшение Concussive Shot
bless_100281,上古封印强化,Ancient Seal Upgrade,Улучшение Ancient Seal
bless_100282,神秘之耀强化,Mystic Flare Upgrade,Улучшение Mystic Flare
bless_100283,鱼人碎击强化,Slithereen Crush Upgrade,Улучшение Slithereen Crush
bless_100284,深海重击强化,Bash of the Deep Upgrade,Улучшение Bash of the Deep
bless_100285,侵蚀雾霭强化,Corrosive Haze Upgrade,Улучшение Corrosive Haze
bless_100286,游啊游啊小小鱼儿,"Swim, swim, little fish","Плыви, плыви, рыбка"
bless_100287,能量转移强化,Essence Shift Upgrade,Улучшение Essence Shift
bless_100288,暗影之舞强化,Shadow Dance Upgrade,Улучшение Shadow Dance
bless_100289,猎枪强化,boomstick Bonus Damage,Доп. урон boomstick
bless_100290,电光石火强化,Scatterblast Upgrade,Улучшение Scatterblast
bless_100291,蜥蜴绝吻强化,Mortimer Kisses Upgrade,Улучшение Mortimer Kisses
bless_100291a,霹雳铁手强化,Lil' Shredder Upgrade,Улучшение Lil' Shredder
bless_100292,暗杀强化,Assassinate Upgrade,Улучшение Assassinate
bless_100293,瞄准强化,Take Aim Upgrade,Улучшение Take Aim
bless_100294,爆头强化,Headshot Upgrade,Улучшение Headshot
bless_100295,如影随形强化,Shadow Step Upgrade,Улучшение Shadow Step
bless_100296,荒芜强化,Desolate Upgrade,Улучшение Desolate
bless_100297,鬼影重重强化,Haunt Upgrade,Улучшение Haunt
bless_100298,巨力重击几率,Greater Bash Chance,Шанс Greater Bash
bless_100299,暗影冲刺强化,Charge of Darkness Upgrade,Улучшение Charge of Darkness
bless_100300,威吓强化,Bulldoze Upgrade,Улучшение Bulldoze
bless_100301,超负荷(魔晶)强化,Galvanized (Innate) Upgrade,Улучшение Galvanized (Врождённая)
bless_100302,残影伤害,Static Remnant Damage,Урон Static Remnant
bless_100303,超负荷伤害,Overload Damage,Урон Overload
bless_100304,风暴之拳强化,Storm Bolt Upgrade,Улучшение Storm Bolt
bless_100305,巨力挥舞强化,Great Cleave Upgrade,Улучшение Great Cleave
bless_100306,神之力量强化,God's Strength Upgrade,Улучшение God's Strength
bless_100307,粘性炸弹强化,Sticky Bomb Upgrade,Улучшение Sticky Bomb
bless_100308,爆破起飞强化,Blast Off! Upgrade,Улучшение Blast Off!
bless_100309,感应地雷强化,Proximity Mines Upgrade,Улучшение Proximity Mines
bless_100309a,活性电击强化,Reactive Tazer Upgrade,Улучшение Reactive Tazer
bless_100310,隐匿强化,Meld Upgrade,Улучшение Meld
bless_100311,折光强化,Refraction Upgrade,Улучшение Refraction
bless_100312,灵能之刃强化,Psi Blades Upgrade,Улучшение Psi Blades
bless_100313,倒影强化,Reflection Upgrade,Улучшение Reflection
bless_100314,魔化冷却,Metamorphosis Cooldown,Перезарядка Metamorphosis
bless_100315,魔化伤害,Metamorphosis Damage,Урон Metamorphosis
bless_100316,巨浪强化,Gush Upgrade,Улучшение Gush
bless_100317,锚击强化,Anchor Smash Upgrade,Улучшение Anchor Smash
bless_100318,毁灭强化,Ravage Upgrade,Улучшение Ravage
bless_100318a,巨浪减甲,Gush Armor Reduction,Снижение брони Gush
bless_100319,部署炮塔强化,Defense Matrix Enhanced,Улучшение Deploy Turrets
bless_100320,机械行军强化,Deploy Turrets Enhanced,Улучшение Марша машин
bless_100321,激光强化,Laser Enhanced,Улучшение Лазера
bless_100322,山崩强化,Avalanche Upgrade,Улучшение Avalanche
bless_100323,小小强化,Tree Grab Upgrade,Улучшение Tree Grab
bless_100323a,投掷强化,Toss Enhanced,Усиленный Toss
bless_100324,长大强化,Grow Upgrade,Улучшение Grow
bless_100325,自然卷握强化,Nature's Grasp Upgrade,Улучшение Nature's Grasp
bless_100326,寄生种子强化,Leech Seed Upgrade,Улучшение Leech Seed
bless_100327,疯狂生长强化,Overgrowth Upgrade,Улучшение Overgrowth
bless_100328,狂战士之怒强化,Berserker's Rage Upgrade,Улучшение Berserker's Rage
bless_100329,热血战魂强化,Fervor Upgrade,Улучшение Fervor
bless_100330,战斗专注强化,Battle Trance Upgrade,Улучшение Battle Trance
bless_100331,寒冰碎片强化,Ice Shards Damage,Урон Ice Shards
bless_100332,雪球强化,Snowball Damage,Урон Snowball
bless_100333,海象神拳暴击,Walrus PUNCH! Crit,Крит Walrus PUNCH!
bless_100334,腐朽强化,Decay Upgrade,Улучшение Decay
bless_100335,墓碑强化,Tombstone Upgrade,Улучшение Tombstone
bless_100336,血肉傀儡强化,Flesh Golem Upgrade,Улучшение Flesh Golem
bless_100337,激怒持续时间,Enrage Duration,Длительность Enrage
bless_100338,怒意狂击增伤,Fury Swipes Damage,Урон Fury Swipes
bless_100339,超强力量次数,Overpower Attacks,Удары Overpower
bless_100340,魔法箭强化,Magic Missile Upgrade,Улучшение Magic Missile
bless_100341,复仇光环强化,Vengeance Aura Upgrade,Улучшение Vengeance Aura
bless_100342,移形换位强化,Nether Swap Upgrade,Улучшение Nether Swap
bless_100343,毒刺伤害,Poison Sting Damage,Урон Poison Sting
bless_100344,毒蛇撕咬伤害,Snakebite DMG,Snakebite урон
bless_100345,恶性瘟疫强化,Noxious Plague Upgrade,Улучшение Noxious Plague
bless_100346,毒性攻击强化,Poison Attack Upgrade,Улучшение Poison Attack
bless_100347,腐蚀皮肤伤害,Corrosive Skin Damage,Урон Corrosive Skin
bless_100348,蝮蛇突袭强化,Viper Strike Upgrade,Улучшение Viper Strike
bless_100349,维萨吉,Visage,Visage
bless_100350,维萨吉,Visage,Visage
bless_100351,维萨吉,Visage,Visage
bless_100352,残阴伤害,Aether Remnant Damage,Урон Aether Remnant
bless_100353,共鸣脉冲强化,Resonant Pulse Upgrade,Улучшение Resonant Pulse
bless_100354,太虚之径强化,Astral Step Upgrade,Улучшение Astral Step
bless_100355,剧变强化,Upheaval Upgrade,Улучшение Upheaval
bless_100356,致命连接强化,Fatal Bonds Upgrade,Улучшение Fatal Bonds
bless_100357,混乱之祭冷却,Chaotic Offering Cooldown,Перезарядка Chaotic Offering
bless_100358,虫群强化,The Swarm Upgrade,Улучшение The Swarm
bless_100359,连击强化,Geminate Attack Upgrade,Улучшение Geminate Attack
bless_100360,缩地强化,Shukuchi Upgrade,Улучшение Shukuchi
bless_100361,风行强化,Windrun Upgrade,Улучшение Windrun
bless_100362,强力击强化,Powershot Upgrade,Улучшение Powershot
bless_100363,集中火力强化,Focus Fire Upgrade,Улучшение Focus Fire
bless_100363a,风行隐身,Tailwind Invisibility,Tailwind: невидимость
bless_100364,碎裂冲击强化,Splinter Blast Upgrade,Улучшение Splinter Blast
bless_100365,严寒灼烧增伤,Arctic Burn Damage,Урон Arctic Burn
bless_100366,寒冬诅咒强化,Winter's Curse Upgrade,Улучшение Winter's Curse
bless_100367,艾欧,Io,Io
bless_100368,艾欧,Io,Io
bless_100369,艾欧,Io,Io
bless_100370,麻痹药剂伤害,Paralyzing Cask Damage,Урон Paralyzing Cask
bless_100371,巫蛊咒术强化,Maledict Upgrade,Улучшение Maledict
bless_100372,死亡守卫冷却,Death Ward Cooldown,Перезарядка Death Ward
bless_100373,弧形闪电强化,Arc Lightning Upgrade,Улучшение Arc Lightning
bless_100374,静电场增伤,Static Field Damage,Урон Static Field
bless_100375,雷击增伤,Lightning Bolt Damage,Урон Lightning Bolt
bless_100375a,神圣之怒,Thundergod's Wrath Upgrade,Улучшение Thundergod's Wrath
bless_100376,回音重斩强化,Echo Stomp Upgrade,Улучшение Echo Stomp
bless_100377,天隼冲击强化,Falcon Strike Upgrade,Улучшение Falcon Strike
bless_100378,技能3强化,Ability 3 Upgrade,Улучшение 3-й способности
bless_100379,蛙力千钧强化,Frogstomp Upgrade,Улучшение Frogstomp
bless_100380,灵呱一闪强化,Croak of Genius Upgrade,Улучшение Croak of Genius
bless_100381,动人之舐强化,Tongue Lash Upgrade,Улучшение Tongue Lash
bless_100383,腐烂之核,Omnislash Upgrade,Улучшение Omnislash
bless_100384,超级榴霰弹,Omnislash Upgrade,Улучшение Omnislash
bless_100388,贪狼,Omnislash Upgrade,Улучшение Omnislash
bless_100389,腐化虫群,Omnislash Upgrade,Улучшение Omnislash
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,