--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese,Russian,Vietnamese
msg_商城_礼包限购记录保存失败_请稍后重试,,礼包限购记录保存失败，请稍后重试,,
msg_商城_礼包限购记录保存失败_请重新确认支付结果,,礼包限购记录保存失败，请重新确认支付结果,,
msg_商城_礼包支付配置无效,,礼包支付配置无效,,
msg_商城_每日特惠每次只能购买一份,,每日特惠每次只能购买一份,,
msg_商城_每日特惠商品配置无效,,每日特惠商品配置无效,,
msg_商城_上一笔购买正在保存_请稍候,,上一笔购买正在保存，请稍候,,
msg_商城_饰品碎片商城商品配置无效,,饰品碎片商城商品配置无效,,
msg_商城_碎片不足,,碎片不足,,
msg_商城_玩家不存在_无法发放礼包,,玩家不存在，无法发放礼包,,
msg_商城_玩家不存在_无法购买每日特惠,,玩家不存在，无法购买每日特惠,,
msg_商城_玩家数据正在保存_请稍后再购买,,玩家数据正在保存，请稍后再购买,,
msg_商城_未找到该商品,,未找到该商品,,
msg_商城_未找到每日特惠商品,,未找到每日特惠商品,,
msg_商城_已拥有该饰品,,已拥有该饰品,,
msg_贪婪洞窟_不属于当前无尽秘境队伍,,不属于当前无尽秘境队伍,,
msg_贪婪洞窟_存档尚未加载完成_无法进入,,存档尚未加载完成，无法进入,,
msg_贪婪洞窟_存档尚未加载完成_无法进入无尽秘境,,存档尚未加载完成，无法进入无尽秘境,,
msg_贪婪洞窟_当前不在有效挑战中,,当前不在有效挑战中,,
msg_贪婪洞窟_当前不在Boss战后商店层,,当前不在Boss战后商店层,,
msg_贪婪洞窟_当前没有可追加的商品_请稍后再试,,当前没有可追加的商品，请稍后再试,,
msg_贪婪洞窟_当前秘境暂时不能加入_请等待本轮结算,,当前秘境暂时不能加入，请等待本轮结算,,
msg_贪婪洞窟_当前秘境正在进入下一层_请等待本轮结算,,当前秘境正在进入下一层，请等待本轮结算,,
msg_贪婪洞窟_当前秘境正在清理_请稍后再试,,当前秘境正在清理，请稍后再试,,
msg_贪婪洞窟_当前玩家状态无法撤离无尽秘境,,当前玩家状态无法撤离无尽秘境,,
msg_贪婪洞窟_当前玩家状态无法提交撤离选择,,当前玩家状态无法提交撤离选择,,
msg_贪婪洞窟_当前无法拾取无尽秘境奖励,,当前无法拾取无尽秘境奖励,,
msg_贪婪洞窟_当前无尽秘境会话已结束,,当前无尽秘境会话已结束,,
msg_贪婪洞窟_当前已有其他秘境正在进行,,当前已有其他秘境正在进行,,
msg_贪婪洞窟_当前有教程正在进行_稍后再试,,当前有教程正在进行，稍后再试,,
msg_贪婪洞窟_当前只开放1至3阶秘境邀请函,,当前只开放1至3阶秘境邀请函,,
msg_贪婪洞窟_地图创建超时_邀请函未消耗,,地图创建超时，邀请函未消耗,,
msg_贪婪洞窟_地图创建失败_邀请函未消耗,,地图创建失败，邀请函未消耗,,
msg_贪婪洞窟_地图进入超时_邀请函未消耗,,地图进入超时，邀请函未消耗,,
msg_贪婪洞窟_地图实体准备超时_邀请函未消耗,,地图实体准备超时，邀请函未消耗,,
msg_贪婪洞窟_地图准备中_已加入等待队列,,地图准备中，已加入等待队列,,
msg_贪婪洞窟_该奖励已被其他玩家拾取,,该奖励已被其他玩家拾取,,
msg_贪婪洞窟_个人背包已满_请先移出一件物品,,个人背包已满，请先移出一件物品,,
msg_贪婪洞窟_个人背包中不存在该物品,,个人背包中不存在该物品,,
msg_贪婪洞窟_公共仓库操作过于频繁_请稍后再试,,公共仓库操作过于频繁，请稍后再试,,
msg_贪婪洞窟_公共仓库中不存在该物品,,公共仓库中不存在该物品,,
msg_贪婪洞窟_会话已失效_邀请函未消耗,,会话已失效，邀请函未消耗,,
msg_贪婪洞窟_奖励归属登记失败_已拒绝本次拾取,,奖励归属登记失败，已拒绝本次拾取,,
msg_贪婪洞窟_今日剩余挑战次数不足_无法进入秘境商店,,今日剩余挑战次数不足，无法进入秘境商店,,
msg_贪婪洞窟_今日挑战次数已用完,,今日挑战次数已用完,,
msg_贪婪洞窟_今日无尽挑战次数已用完,,今日无尽挑战次数已用完,,
msg_贪婪洞窟_进入失败_邀请函未消耗,,进入失败，邀请函未消耗,,
msg_贪婪洞窟_开启宝箱失败_请检查奖励配置,,开启宝箱失败，请检查奖励配置,,
msg_贪婪洞窟_流程尚未就绪,,流程尚未就绪,,
msg_贪婪洞窟_没有可开启宝箱的魂晶,,没有可开启宝箱的魂晶,,
msg_贪婪洞窟_秘晶不足,,秘晶不足,,
msg_贪婪洞窟_秘晶收益商品数值无效,,秘晶收益商品数值无效,,
msg_贪婪洞窟_其他地图正在创建_请稍后重试_邀请函未消耗,,其他地图正在创建，请稍后重试，邀请函未消耗,,
msg_贪婪洞窟_请在楼层结算阶段使用撤离点,,请在楼层结算阶段使用撤离点,,
msg_贪婪洞窟_请在楼层结算时投票撤离,,请在楼层结算时投票撤离,,
msg_贪婪洞窟_入场请求已失效_邀请函未消耗,,入场请求已失效，邀请函未消耗,,
msg_贪婪洞窟_入场校验未通过_邀请函未消耗,,入场校验未通过，邀请函未消耗,,
msg_贪婪洞窟_商品不存在或已经售罄,,商品不存在或已经售罄,,
msg_贪婪洞窟_商品归属登记失败_本次未扣除秘晶,,商品归属登记失败，本次未扣除秘晶,,
msg_贪婪洞窟_商品物品生成失败_请重新打开商店,,商品物品生成失败，请重新打开商店,,
msg_贪婪洞窟_挑战次数保存失败_请稍后再试,,挑战次数保存失败，请稍后再试,,
msg_贪婪洞窟_无法拿取该物品,,无法拿取该物品,,
msg_贪婪洞窟_无法拾取该无尽秘境奖励,,无法拾取该无尽秘境奖励,,
msg_贪婪洞窟_无法退回该物品,,无法退回该物品,,
msg_贪婪洞窟_无尽秘境已经开始_无法中途加入,,无尽秘境已经开始，无法中途加入,,
msg_贪婪洞窟_无尽秘境只允许在首层开战前加入,,无尽秘境只允许在首层开战前加入,,
msg_贪婪洞窟_无尽挑战次数保存失败,,无尽挑战次数保存失败,,
msg_贪婪洞窟_无尽挑战次数保存失败_请稍后再试,,无尽挑战次数保存失败，请稍后再试,,
msg_贪婪洞窟_无尽挑战已经结束_无法调整个人背包,,无尽挑战已经结束，无法调整个人背包,,
msg_贪婪洞窟_物品归属校验失败_已拒绝本次操作,,物品归属校验失败，已拒绝本次操作,,
msg_贪婪洞窟_物品状态已经变化_请按最新仓库状态重试,,物品状态已经变化，请按最新仓库状态重试,,
msg_贪婪洞窟_缺少对应阶数邀请函,,缺少对应阶数邀请函，无法进入倾天秘境,,
msg_贪婪洞窟_邀请函阶数与当前秘境不匹配,,邀请函阶数与当前秘境不匹配,,
msg_贪婪洞窟_邀请函已失效_无法进入,,邀请函已失效，无法进入,,
msg_贪婪洞窟_已经参与过当前秘境,,已经参与过当前秘境,,
msg_贪婪洞窟_英雄状态异常_无法进入,,英雄状态异常，无法进入,,
msg_贪婪洞窟_游戏暂停中_暂时不能进行秘境选择,,游戏暂停中，暂时不能进行秘境选择,,
msg_贪婪洞窟_暂时无法进入倾天秘境,,暂时无法进入倾天秘境,,
msg_贪婪洞窟_正在进入_请等待地图准备完成,,正在进入，请等待地图准备完成,,
msg_贪婪洞窟_正在准备地图_请稍候,,正在准备地图，请稍候,,
msg_贪婪洞窟_只有在基地中才能使用邀请函,,只有在基地中才能使用邀请函,,
msg_天赋_存档未加载完成,,存档未加载完成,,
msg_天赋_调试切换研究状态失败,,调试切换研究状态失败,,
msg_天赋_该天赋研究中,,该天赋研究中,,
msg_天赋_货币不足,,货币不足,,
msg_天赋_前置天赋未满足,,前置天赋未满足,,
msg_天赋_天赋树未解锁,,天赋树未解锁,,
msg_天赋_同时研究数量达到上限,,同时研究上限为 {max} 个,,
msg_天赋_无效天赋,,无效天赋,,
msg_天赋_研究失败,,研究失败,,
msg_天赋_已研究完成,,已研究完成,,
msg_通用_宝石栏已满,,宝石栏已满,,
msg_通用_宝物只能放入16号格,,宝物只能放入16号格,,
msg_通用_背包和仓库空间不足,,背包和仓库空间不足,,
msg_通用_背包或仓库空间不足_请整理后再购买,,背包或仓库空间不足，请整理后再购买,,
msg_通用_背包或仓库空间不足_请整理后重试,,背包或仓库空间不足，请整理后重试,,
msg_通用_材料不足,,材料不足,,
msg_通用_宠物槽已满,,宠物槽已满,,
msg_通用_宠物只能放入17号格,,宠物只能放入17号格,,
msg_通用_兑换成功,,兑换成功,,
msg_通用_封印物品只能放入装备栏,,封印物品只能放入装备栏,,
msg_通用_封印物只能放入装备栏,,封印物只能放入装备栏,,
msg_通用_符印只能放入装备栏6至8格,,符印只能放入装备栏6至8格,,
msg_通用_该物品不能放入这个槽位,,该物品不能放入这个槽位,,
msg_通用_该物品无法脱下,,该物品无法脱下,,
msg_通用_购买失败,,购买失败,,
msg_通用_购买数量错误,,购买数量错误,,
msg_通用_钱包栏已满,,钱包栏已满,,
msg_通用_钱包只能放入15号格,,钱包只能放入15号格,,
msg_通用_玩家数据不存在,,玩家数据不存在,,
msg_通用_只有宝物可以放入该槽位,,只有宝物可以放入该槽位,,
msg_通用_只有钱包物品可以放入该槽位,,只有钱包物品可以放入该槽位,,
msg_通用_中立栏已满,,中立栏已满,,
msg_通用_装备栏已满,,装备栏已满,,
msg_通用_穿戴失败,,穿戴失败,,
msg_通用_装备只能放入装备栏0至5格,,装备只能放入装备栏0至5格,,
msg_物品使用_无法使用该物品,,无法使用该物品,,
msg_系统维护_当前服务器正在维护_建议退出_五分钟后强制结束,,当前服务器正在维护，建议退出，五分钟后强制结束,,
msg_系统维护_当前游戏版本过低_建议退出_五分钟后强制结束,,当前游戏版本过低，建议退出，五分钟后强制结束,,
msg_制作_分解参数无效,,分解参数无效,,
msg_制作_升华材料已失效,,升华材料已失效,,
msg_制作_升华目标已失效,,升华目标已失效,,
msg_制作_升阶参数无效,,升阶参数无效,,
msg_制作_制作任务参数无效,,制作任务参数无效,,
msg_制作_重铸参数无效,,重铸参数无效,,
msg_制作_重铸目标已失效,,重铸目标已失效,,
msg_商城_购买前请先确认资产归属提醒,Please acknowledge the asset ownership notice before purchasing.,购买前请先确认资产归属提醒。,Подтвердите уведомление о принадлежности активов перед покупкой.,Vui lòng xác nhận thông báo quyền sở hữu tài sản trước khi mua.
msg_商城_永恒恢复卡正在使用中,An Eternal Recovery Card is already being used.,永恒恢复卡正在使用中,,
msg_商城_账号点券数据尚未加载,Account point data has not loaded yet.,账号点券数据尚未加载,,
msg_商城_赛季会员卡正在使用中,A Season Membership Card is already being used.,赛季会员卡正在使用中,,
msg_商城_赛季会员卡数量不足,You do not have a Season Membership Card.,赛季会员卡数量不足,,
msg_商城_本赛季会员权益已经激活,Season Membership is already active for this season.,本赛季会员权益已经激活,,
msg_商城_玩家数据正在保存_请稍后使用,Player data is being saved. Please try again shortly.,玩家数据正在保存，请稍后使用,,
msg_商城_赛季会员激活数据打包失败,Failed to prepare Season Membership activation data.,赛季会员激活数据打包失败,,
msg_商城_赛季会员卡使用成功,Season Membership activated for this season.,赛季会员卡使用成功，本赛季会员权益已激活,,
msg_商城_赛季会员已激活_请重新打开界面,Season Membership was activated. Reopen the page to refresh it.,赛季会员已激活，请重新打开界面刷新,,
msg_商城_赛季会员卡使用异常,Failed to use the Season Membership Card. Please try again later.,赛季会员卡使用异常，请稍后重试,,
msg_商城_永恒恢复卡使用成功,Eternal Recovery Card used. Restored {points} points.,永恒恢复卡使用成功，恢复 {points} 点券,,
msg_商城_永恒恢复卡使用异常,Failed to use the Eternal Recovery Card. Please try again later.,永恒恢复卡使用异常，请稍后重试,,