--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 16fdfbc · 2026-08-07 21:47:55 UTC
  ~ auto-generated — do not edit
]]


"lang"
{
	"Language"		"Schinese"
	"Tokens"
	{
		//schinese/ability.vdf
		"DOTA_Tooltip_ability_ursa_talent"		"怒意狂击"
		"starry_treasure_activity_infodesc_9020"		"<font color='#ffe791'>星际列车</font><br>星际列车中可从左至右依次领取奖品，领取第一个奖品后解锁下一个奖品。<br><br><font color='#ffe791'>列车奖励</font><br>每领取1个星际列车中的奖品，星际列车前进+1，活动结束进度重置。<br>第10站，可以免费领取影魔—破碎灵魂之王皮肤。<br>第24站，可以免费领取天命人——猴王之孽皮肤。<br>第31站，可以解锁巨魔战将——血刃战斧皮肤。<br><br><font color='#ffe791'>星海祝福</font><br>托管权限，持续30天。"
		"starry_treasure_activity_infodesc_9021"		"<font color='#ffe791'>星际列车</font><br>星际列车中可从左至右依次领取奖品，领取第一个奖品后解锁下一个奖品。<br><br><font color='#ffe791'>列车奖励</font><br>每领取1个星际列车中的奖品，星际列车前进+1，活动结束进度重置。<br>第10站，可以免费领取厨子—怒意爆发皮肤。<br>第24站，可以免费领取恐怖利刃——忘却之尊皮肤。<br>第31站，可以解锁主宰——电锯甜心皮肤。<br><br><font color='#ffe791'>星海祝福</font><br>托管权限，持续30天。<br><br><font color='red'>对于本期星海秘宝已有【皮肤】电锯甜心的玩家，在购买后会获得星海币。</font>"
		"starry_treasure_activity_infodesc_9022"		"<font color='#ffe791'>星际列车</font><br>星际列车中可从左至右依次领取奖品，领取第一个奖品后解锁下一个奖品。<br><br><font color='#ffe791'>列车奖励</font><br>每领取1个星际列车中的奖品，星际列车前进+1，活动结束进度重置。<br>第10站，可以免费领取敌法师—星隐信徒皮肤。<br>第24站，可以免费领取撼地者——深部岩浆之缚皮肤。<br>第31站，可以解锁克林克兹——赤弦破空皮肤。<br><br><font color='#ffe791'>星海祝福</font><br>托管权限，持续30天。"
		"starry_treasure_activity_infodesc_9023"		"<font color='#ffe791'>星际列车</font><br>星际列车中可从左至右依次领取奖品，领取第一个奖品后解锁下一个奖品。<br><br><font color='#ffe791'>列车奖励</font><br>每领取1个星际列车中的奖品，星际列车前进+1，活动结束进度重置。<br>第10站，可以免费领取兽王—混沌荒原劫掠者皮肤。<br>第24站，可以免费领取狼人——赤狼部落挽歌皮肤。<br>第31站，可以解锁森海飞霞——兔妹加特林皮肤。<br><br><font color='#ffe791'>星海祝福</font><br>托管权限，持续30天。<br><br><font color='red'>对于本期星海秘宝已有【皮肤】兔妹加特林的玩家，在购买后会获得星海币。</font>"
		"starry_treasure_activity_infodesc_9024"		"<font color='#ffe791'>星际列车</font><br>星际列车中可从左至右依次领取奖品，领取第一个奖品后解锁下一个奖品。<br><br><font color='#ffe791'>列车奖励</font><br>每领取1个星际列车中的奖品，星际列车前进+1，活动结束进度重置。<br>第10站，可以免费领取幻影刺客——影誓寒光死神套装皮肤。<br>第24站，可以免费领取伐木机—焚木机皮肤。<br>第31站，可以解锁灰烬之灵——烈刃浪者皮肤。<br><br><font color='#ffe791'>星海祝福</font><br>托管权限，持续30天。<br><br><font color='red'>对于本期星海秘宝已有【皮肤】烈刃浪者的玩家，在购买后会获得星海币。</font>"
		"starry_treasure_activity_infodesc_9025"		"<font color='#ffe791'>星际列车</font><br>星际列车中可从左至右依次领取奖品，领取第一个奖品后解锁下一个奖品。<br><br><font color='#ffe791'>列车奖励</font><br>每领取1个星际列车中的奖品，星际列车前进+1，活动结束进度重置。<br>第10站，可以免费领取孽主——深渊灾劫暴行皮肤。<br>第24站，可以免费领取虚空假面—驭时之人皮肤。<br>第31站，可以解锁水晶室女——冰雪奇缘皮肤。<br><br><font color='#ffe791'>星海祝福</font><br>托管权限，持续30天。<br><br><font color='red'>对于本期星海秘宝已有【皮肤】冰雪奇缘的玩家，在购买后会获得星海币。</font>"
		"starry_treasure_activity_infodesc_9026"		"<font color='#ffe791'>星际列车</font><br>星际列车中可从左至右依次领取奖品，领取第一个奖品后解锁下一个奖品。<br><br><font color='#ffe791'>列车奖励</font><br>每领取1个星际列车中的奖品，星际列车前进+1，活动结束进度重置。<br>第10站，可以免费领取血魔——寻骨猎人皮肤。<br>第24站，可以免费领取术士—GreevilMaster皮肤。<br>第31站，可以解锁圣堂刺客——异域舞娘皮肤。<br><br><font color='#ffe791'>星海祝福</font><br>托管权限，持续30天。<br><br><font color='red'>对于本期星海秘宝已有【皮肤】异域舞娘的玩家，在购买后会获得星海币。</font>"
		"PeakScoreSignIn_ERROR1"		"对局总场数少于5场"
		"PeakScore"		"巅峰积分"
		"PeakScore_description"		"积分榜根据积分进行排序。<br>各赛区前48名获得巅峰赛初赛资格。"
		"PeakScore_None"		"???"
		"PeakScore_InvalidScore"		"未符合条件"
		"leaderboard_7"		"巅峰积分榜"
		"leaderboard_7_title"		"巅峰积分榜"
		"Rank_Region"		"赛区"
		"Rank_ChickRate"		"吃鸡率"
		"PeakScoreRegion_default"		"未选择"
		"PeakScoreRegion_0"		"所有赛区"
		"PeakScoreRegion_1"		"东部赛区"
		"PeakScoreRegion_2"		"西部赛区"
		"PeakScoreRegion_1_contact"		"请东部赛区选手加入QQ群：<font class='GamePlayValues'>829483172</font>"
		"PeakScoreRegion_2_contact"		"请西部赛区选手加入QQ群：<font class='GamePlayValues'>797444959</font>"
		"PeakScoreRegion_default_contact"		"请选手加入QQ群：<font class='GamePlayValues'>994044692</font>"
		"PeakCup_SelectRegion"		"选择赛区"
		"Activity_Dianfengsai2"		"S10巅峰赛"
		"Activity_Dianfengsai2_1"		"S10赛季—巅峰挑战争霸赛"
		"PeakCup_Group_Type_1"		"胜者组"
		"PeakCup_Group_Type_2"		"败者组"
		"Activity_Dianfengsai_Title_1"		"初赛"
		"Activity_Dianfengsai_Titletime_1"		"7月16日-17日"
		"Activity_Dianfengsai_Title_2"		"复赛"
		"Activity_Dianfengsai_Titletime_2"		"7月18日"
		"Activity_Dianfengsai_Title_3"		"16强晋级赛"
		"Activity_Dianfengsai_Titletime_3"		"7月19日"
		"Activity_Dianfengsai_Title_4"		"16强突围赛"
		"Activity_Dianfengsai_Titletime_4"		"7月23日"
		"Activity_Dianfengsai_Title_5"		"败者组决赛"
		"Activity_Dianfengsai_Titletime_5"		"7月24日"
		"Activity_Dianfengsai_Title_6"		"赛区决赛"
		"Activity_Dianfengsai_Titletime_6"		"7月25日"
		"Activity_Dianfengsai_Title_7"		"巅峰总决赛"
		"Activity_Dianfengsai_Titletime_7"		"7月26日"
		"Activity_Dianfengsai_Pre_Title_1"		"积分赛"
		"Activity_Dianfengsai_Pre_Titletime_1"		"1月2日-1月11日"
		"Activity_Dianfengsai_Pre_Title_2"		"预选赛"
		"Activity_Dianfengsai_Pre_Titletime_2"		"12月20日-12月21日"
		"Activity_Dianfengsai_Pre_Title_3"		"突围赛"
		"Activity_Dianfengsai_Pre_Titletime_3"		"12月22日"
		"hud_bp_rule"		"比赛规则"
		"DianFengRule"		"巅峰赛规则"
		"rule1"		"1.比赛过程中全程使用赛事地图进行对局，赛事地图为全英雄模式，英雄锁定功能将不生效；不禁用无流派英雄；<br>"
		"rule2"		"2.赛前官方公示参赛选手名单、组队规则及比赛时间后，请参赛选手提前进行确认，如有时间冲突或其他事项需提前进行沟通确认，并在对应参赛时间提前15分钟确认参赛状态；<br>"
		"rule3"		"3.参赛选手需提前至少10分钟获取当天参赛房间密码并进入房间进行等待，保证人齐后进行匹配，迟到超过5分钟则视为弃权，将由官方根据赛程进行后续安排；<br>"
		"rule4"		"4.每场对局将有1名合作房主提前建房并进行秩序把控，比赛开始前房主将协助核实参赛名单，过程可能需要1-2分钟，当场赛事对局结束后将请参赛选手将对局战绩截图发到赛事群由官方工作人员进行记录并统计；<br><font class='GameplayValues'>*目前仅【赛区初赛】将安排替补选手，其余赛段如遇选手弃权将不安排候补，自动补入人机；</font><br>"
		"rule5"		"5.全服总决赛将采用服务器轮换模式，比赛对局服务器在【新加坡服务器】及【奥地利服务器】进行轮换，比赛当天通过deepseek进行随机决定比赛第一把服务器；<br>"
		"rule6"		"6.比赛过程中不得擅自弃赛，如选手在复赛及之后赛段弃赛则取消本次赛事所有奖励且将被禁止参与后续赛季巅峰赛；<br>"
		"rule7"		"7.如比赛过程中出现个人游戏故障，支持每位参赛选手暂停1次，单局单选手最多暂停时长上限为2分钟；<br><font class='GameplayValues'>  a:个人游戏故障：指参赛选手因自身设备、网络、客户端非正常退出等非比赛服务器全局原因导致的，无法正常进行游戏的情况；<br>  b:暂停开启后正式开始计时，当局裁判将根据计时情况统计单选手时间，如不足2分钟需提前开启，请参赛选手提前在公屏告知裁判，由裁判恢复游戏；<br>  c:如选手暂停超过2分钟未重连，裁判将在对应时间开启游戏，掉线选手将以当前状态继续游戏直至本局结束，相关后果由选手自行承担；<br>  d:单局单人暂停时长具备绝对的个人属性，禁止任何形式的转让及共享，任何选手不得将自己的剩余暂停时长赠与、转让或声明交由其他选手使用；<br>  e:任何试图通过言语、默契或其他方式“借用”或“共享”暂停时长的行为，一经查实，涉事选手均将被视为干扰比赛秩序，裁判将给予警告，情节严重者当天比赛总积分扣减3分。</font>"
		"rule8"		"8.为保证比赛顺畅，建议所有参赛选手在结束一场比赛后，重启Dota2并重新进入游戏房间等待；<br>"
		"rule9"		"9.本次赛事部分场次将进行直播，赛事合作主播及对应直播链接可通过游戏更新页或游戏内【活动】-【S10巅峰赛】进行查看；<br>"
		"rule10"		"10.比赛过程需遵循公平、公正原则，不得使用包括但不限于外挂、脚本等违反游戏公平的违规工具；<br>"
		"rule11"		"11.比赛过程中请保持善意友好，不得出现攻击、辱骂等行为，如持续攻击、辱骂他人，且经裁判告知依然我行我素者，当局比赛将被判定为无效，积分为0；<br>"
		"rule12"		"12.为保证比赛的公平性及竞技性，本赛事实行单人单账号制度，严禁任何形式的代打、账号共享、1名玩家使用多个账号等行为，如发现此类行为并核实，官方有权取消对应账号的参赛资格及参赛奖励！请各位选手自觉遵守规则，共同维护良好的赛事环境；<br>"
		"rule13"		"13.参赛选手需对本人账号负责，如因自身违规操作导致账号封禁无法参赛，将视为放弃参赛资格；<br>"
		"rule14"		"14.赛事过程中如有任何疑问，可在赛事Q群（994044692）中私信群主进行沟通；<br>"
		"rule15"		"15.如赛事过程中出现违规、不公平及部分不可抗力因素影响，官方有权根据实际情况对赛事赛程及部分细则做出调整，请知悉！"
		"Dianfengsai_tempReward_1"		"S5巅峰赛冠军"
		"Dianfengsai_tempReward_2"		"S5巅峰赛亚军"
		"Dianfengsai_tempReward_3"		"S5巅峰赛季军"
		"Dianfengsai_tempReward_4"		"S5巅峰赛殿军"
		"Dianfengsai_tempReward_5"		"S5巅峰赛8强"
		"Dianfengsai_tempReward_6"		"【幻梦守护者】信使皮肤"
		"Dianfengsai_tempReward_7"		"英雄金色皮肤自选体验券"
		"Dianfengsai_tempReward_8"		"会员卡"
		"Dianfengsai_tempReward_9"		"1200元现金"
		"Dianfengsai_tempReward_10"		"800元现金"
		"Dianfengsai_tempReward_11"		"600元现金"
		"Dianfengsai_tempReward_12"		"300元现金"
		"Dianfengsai_tempReward_13"		"自选英雄金色皮肤"
		"Dianfengsai_tempReward_enter"		"S11全球总决赛资格"
		"Expire_Permanent"		"永久"
		"LuckValue"		"幸运值"
		"Activity_Dianfengsai_LiveTitle"		"观看赛事直播抽专属奖励"
		"Activity_Dianfengsai_LiveLabel1"		"每场积分赛直播间抽奖，奖品包括：<font color='#ffe364'>会员月卡</font>、<font color='#ffe364'>会员卡（7日）</font>"
		"Activity_Dianfengsai_LiveLabel2"		"每场积分赛直播间抽奖，奖品包括：<font color='#ffe364'>会员卡（7日）</font><br>每场赛点局直播间抽奖，奖品包括：<font color='#ffe364'>会员月卡</font>；"
		"Activity_Dianfengsai_LiveLabel3"		"决赛CDK福利将在直播间公示，内含：<font color='#ffe364'>梦幻券</font>*1、<font color='#ffe364'>金币券</font>*1、<font color='#ffe364'>高级奖杯卡</font>*1"
		"Activity_Dianfengsai_Pre_Rule"		"积分赛规则"
		"Activity_Dianfengsai_Invitation"		"巅峰赛邀请函"
		"PeakCup_SignUp1"		"选择您的赛区"
		"PeakCup_SignUp2"		"选择您的初赛时间"
		"PeakCup_SignUpRegion_1"		"东部赛区（新加坡服务器）"
		"PeakCup_SignUpRegion_2"		"西部赛区（奥地利服务器）"
		"PeakCup_Region_1"		"东部赛区"
		"PeakCup_Region_2"		"西部赛区"
		"PeakCup_SignUp2_default1"		"7月16日  20:00  UTC+8（北京时间）"
		"PeakCup_SignUp2_default2"		"7月17日  20:00  UTC+8（北京时间）"
		"PeakCup_SignUp2_11"		"7月16日  20:00  UTC+8（北京时间）"
		"PeakCup_SignUp2_12"		"7月17日  20:00  UTC+8（北京时间）"
		"PeakCup_SignUp2_21"		"7月16日  19:00  UTC+3（对应北京时间7月17日0点）"
		"PeakCup_SignUp2_22"		"7月17日  19:00  UTC+3（对应北京时间7月18日0点）"
		"PeakCup_SignUp3"		"都可以"
		"PeakCup_SignUp4"		"官方会根据大家的意向尽量安排赛程，如遇不可抗因素还请见谅"
		"PeakCup_SignUp5"		"【电子斗蛐蛐-巅峰积分赛】（【Peak_Arena】地图）总场数<font color='#f4ceac'>至少5场</font>才可以进行报名"
		"message_warning"		"警告"
		"message_cannot_change"		"确认后将无法进行更改！"
		"PeakCup_SignUpSuccess"		"赛区选择成功！"
		"PeakCup_SignUpFailed"		"赛区选择失败！"
		"PeakCup_Reward1"		"地区赛"
		"PeakCup_Reward2"		"总决赛"
		"button_hide"		"隐藏"
		"Activity_IkunWinter"		"雪舞双旦"
		"Activity_IkunWinterCollection"		"活动收集"
		"Activity_IkunWinterCollection_Description"		"收集目标中所有装扮即可获得奖励"
		"Activity_IkunWinterTitle1"		"收集品"
		"Activity_IkunWinterTitle2"		"收集进度"
		"task_complete"		"完成"
		"Activity_ikunwinter_infodesc"		"<font color='#ffe791'>传奇奖励：</font><br>【信使皮肤】圣诞坤坤<br><br><font color='#ffe791'>史诗奖励：</font><br>【应援团】圣诞雪人应援团<br>【头像框】坤坤的情人<br>【名片装饰】坤坤的抱我<br>【名片背景】坤坤的聚光灯<br>【兑换币】坤坤币9-12枚<br>【信使表情】无人能挡、得意<br><br><font color='#ffe791'>稀有奖励：</font><br>【信使表情】不过如此、无语<br>【兑换币】坤坤币4-6枚<br><br><font color='#ffe791'>普通奖励：</font><br>【信使表情】准备、难过、嘲讽<br>【交互品】点爆竹50个<br>【交互品】踢足球10个<br>【兑换币】坤坤币1-2枚<br><br><font color='#ffe791'>奖池中也会随机掉落【小红帽】、【恶灵骑士】、【双鱼圣斗士】和【双鱼冥斗士】相关的背景和表情<br></font><br><br><font color='#ff6965'>【坤坤应援团】</font>、<font color='#ff6965'>【恶灵骑士】皮肤</font>、<font color='#ff6965'>【小红帽】皮肤</font>、<font color='#ff6965'>【双鱼圣斗士】皮肤</font>和<font color='#ff6965'>【双鱼冥斗士】皮肤</font>可通过坤坤币兑换获得"
		"Activity_ikunwinter_poolchance"		"<font color='#ffe791'>抽奖概率：</font><br>传奇-1%<br>史诗-4%<br>稀有-12%<br>普通-83%<br><font color='#ffe791'>保底规则：</font><br>传奇奖品<b>80</b>抽保底，史诗奖品30抽保底，稀有奖品10抽保底<br><font color='#ffe791'>幸运值：</font><br>参与抽奖可以累计幸运值，幸运值越高越容易出好东西。<br>期间抽出传奇奖品，则消耗掉当前幸运值。"
		"HostPrivilegeDetailsSectListTxt"		"技能购买（多选）"
		"HostPrivilegeDetailsOptionTxt"		"商店操作（单选）"
		"HostPrivilegeDetailsSR"		"任意传说技能"
		"HostPrivilegeDetailsOptionRefresh"		"刷新"
		"HostPrivilegeDetailsOptionRandom"		"随机"
		"HostPrivilegeDetailsOptionNone"		"无"
		"select_payway"		"购买方式："
		"max_interest_threshold"		"当前达到最大利息所需金币"
		"Activity_NewYear25"		"福袋迎春"
		"Activity_NewYear25_Countdown"		"福袋奖池截止"
		"Activity_NewYear25_Hero"		"累计祈福10次送英雄——【魔尊】!"
		"Activity_NewYear25_Drop1"		"每次对局都会概率掉落新年福袋！"
		"Activity_NewYear25_Drop2"		"游戏胜利必定掉落新年福袋！"
		"Activity_NewYear25_DropCount"		"每周福袋掉落上限：{d:count}/{d:target}"
		"Activity_NewYear25_infodesc"		"<font color='#ffe791'>传奇奖励：</font><br>新年自选宝箱<br><br><font color='#ffe791'>史诗奖励：</font><br>【信使】蔚蓝龙<br>【信使】灵犀弗拉尔<br>【虚空假面皮肤】冰冻虚空<br>【莱恩皮肤】奇拉美再现<br>【卓尔游侠皮肤】朱蓝乌氅<br>【远古冰魄皮肤】凌冬狂战士<br><br><font color='#ffe791'>稀有奖励：</font><br>【军团指挥官表情】准备、无语、胜利<br><br><font color='#ffe791'>普通奖励：</font><br>【交互品】福气礼花2个<br><br><font color='#ffe791'>新年自选宝箱：使用宝箱后以下奖励任选其一<br><br>【信使】坚背兽<br>【水晶室女皮肤】冰雪奇缘<br>【修补匠皮肤】机能少女<br>【帕吉皮肤】素素帕吉<br>【兑换币】新年爆竹*200<br></font><br><br><font color='#ff6965'>【军团指挥官皮肤】智慧女神不会出现在福袋之中</font>"
		"Activity_NewYear25_poolchance"		"<font color='#ffe791'>抽奖概率：</font><br>传奇-0.1%<br>史诗-2%<br>稀有-37.9%<br>普通-60%<br><font color='#ffe791'>保底规则：</font><br>传奇奖品<b>30</b>抽保底，史诗奖品20抽保底，稀有奖品10抽保底<br>"
		"Activity_NewYear25_stacktotal"		"累计祈福次数: {d:count}"
		"Draw_Acitivity_Fireworks_1"		"祈福1次"
		"Draw_Acitivity_Fireworks_10"		"祈福10次"
		"Activity_NewYear25_stackcount"		"祈福次数"
		"Activity_Fireworks"		"礼花大作战"
		"FireworksReceiveButton"		"放{d:value}个"
		"Activity_FireWordstips"		"放礼花领福利"
		"Activity_FireworksRankRewardTitle"		"礼花排行奖励"
		"Activity_Fireworks_Desc"		"新年礼花放不停，奖励连连不停歇"
		"Activity_Fireworks_Desc2"		"放福气礼花得奖励"
		"Activity_Fireworks_detail"		"<font color='#ffe791'>礼花大作战</font><br><br>活动时间：<br>1月23日至2月16日<br><br>活动内容：<br>在活动期间，玩家成功使用20个【福气礼花交互品】，即可参与本次活动。<br><br>我们将根据您使用礼花的数量，进行全服排行。使用的越多，排名越靠前。<br><br>活动结束后，将根据锁榜时您的最终排名，通过游戏内邮件发放对应奖励。<br><br><font color='#ffe791'>开新年福袋或者使用新年爆竹兑换均可获得福气礼花</font>"
		"Activity_Tutu2"		"赛车嘉年华"
		"Activity_Tutu2_infodesc"		"赛车嘉年华中，每购买1枚【应援心】额外获得1张【竞速旗】<br>霓姬可在【装扮】-世界-应援团中装配<br><br><font color='#ffe791'>至宝奖励：</font><br>【应援团】律动霓姬-维拉<br><br><font color='#ffe791'>传奇奖励：</font><br>【应援团】霓姬-里亚<br>【应援团】霓姬-佩尔<br>【应援团】霓姬-帕南<br>【应援团】霓姬-妮娜<br><br><font color='#ffe791'>史诗奖励：</font><br>【应援团】应援装饰-轮胎<br>【炫彩素材】星辉<br><br><font color='#ffe791'>稀有奖励：</font><br>【表情】魅姬-难过<br>【表情】魅姬-嘲讽<br>【表情】魅姬-不过如此<br>【表情】魅姬-无人能挡<br>【表情】魅姬-得意<br>【交互品】福气礼花4个<br><br><font color='#ffe791'>普通奖励：</font><br>【交互品】砸雪球20个<br>【交互品】放烟花20个<br>【交互品】踢足球20个<br>【交互品】点爆竹20个<br>"
		"Activity_Tutu2_poolchance"		"<font color='#ffe791'>常规召唤概率：</font><br>至宝-0.001%<br>传奇-0.01%<br>史诗-9.989%<br>稀有-30%<br>普通-60%<br><br><font color='#ffe791'>特定召唤概率：</font><br>第15/30/50/300次召唤：至宝-0.01%，传奇-0.1%，史诗-19.89%，稀有-60%，普通0%<br>第120次召唤：至宝-0.01%，传奇-99.99%，史诗-0%，稀有-0%，普通0%<br>第180次召唤：至宝-0.01%，传奇-50%，史诗-12.49%，稀有-37.5%，普通0%<br>第450次召唤：至宝-100%，传奇-0%，史诗-0%，稀有-0%，普通0%<br><br><font color='#ffe791'>保底规则：</font><br>第120次召唤必定获得至宝或传奇奖品<br>第450次召唤必定获得至宝奖品"
		"92000004_exchange"		"竞速旗兑换"
		"UseSelfPickBox"		"使用自选宝箱"
		"Activity_NewYear25_DropCountDown"		"福袋掉落截止"
		"Activity_NewYear25_DropCountDownEnd"		"福袋掉落已截止"
		"ReceiveAll"		"一键领取奖励"
		"Activity_Tutu3"		"双旦嘉年华"
		"Activity_Tutu3_infodesc"		"双旦嘉年华中，每购买1枚【应援心】额外获得1张【粉丝票】<br>双旦之歌可在【装扮】-世界-应援团中装配<br><br><font color='#ffe791'>至宝奖励：</font><br>【应援团】双旦之歌-琳娜<br><br><font color='#ffe791'>传奇奖励：</font><br>【应援团】双旦之歌-装饰鸭<br>【应援团】双旦之歌-装饰树<br>【应援团】双旦之歌-礼物老人<br>【应援团】双旦之歌-雪乡驯鹿<br><br><font color='#ffe791'>史诗奖励：</font><br>【头像框】坤坤的情人<br>【炫彩素材】星辉<br><br><font color='#ffe791'>稀有奖励：</font><br>【表情】坤坤-准备<br>【表情】坤坤-嘲讽<br>【表情】坤坤-难过<br>【表情】坤坤-不过如此<br>【表情】坤坤-无语<br>【交互品】福气礼花4个<br><br><font color='#ffe791'>普通奖励：</font><br>【交互品】砸雪球20个<br>【交互品】放烟花20个<br>【交互品】踢足球20个<br>【交互品】点爆竹20个<br>"
		"Activity_Tutu3_poolchance"		"<font color='#ffe791'>常规召唤概率：</font><br>至宝-0.001%<br>传奇-0.01%<br>史诗-9.989%<br>稀有-30%<br>普通-60%<br><br><font color='#ffe791'>特定召唤概率：</font><br>第15/30/50/300次召唤：至宝-0.01%，传奇-0.1%，史诗-19.89%，稀有-60%，普通0%<br>第120次召唤：至宝-0.01%，传奇-99.99%，史诗-0%，稀有-0%，普通0%<br>第180次召唤：至宝-0.01%，传奇-50%，史诗-12.49%，稀有-37.5%，普通0%<br>第450次召唤：至宝-100%，传奇-0%，史诗-0%，稀有-0%，普通0%<br><br><font color='#ffe791'>保底规则：</font><br>第120次召唤必定获得至宝或传奇奖品<br>第450次召唤必定获得至宝奖品"
		"92000005_exchange"		"粉丝票兑换"
		"92000006_exchange"		"粉丝票兑换"
		"92000007_exchange"		"粉丝票兑换"
		"Activity_Anniversary"		"周年集福卡"
		"Activity_Anniversary_infodesc"		"周年活动期间对局当中的稀有技能和传奇技能有概率变成<font color='#ffe791'>福卡技能</font>，购买<font color='#ffe791'>福卡技能</font>后会获得随机福卡。<br><br><font color='#ff6965'>福卡每周有获取数量上限，达到上限后购买福卡技能不会再获得福卡。</font>"
		"Activity_Anniversary_stacktotal"		"累计对局获胜次数: {d:count}"
		"Activity_Anniversary_exchange"		"周年福卡兑换"
		"Activity_Anniversary_exchange_title1"		"兑换列表"
		"Activity_Anniversary_exchange_title2"		"可兑换次数"
		"Activity_Anniversary_exchange_title3"		"所需福卡"
		"Activity_Anniversary_exchange_error1"		"请选择福卡种类"
		"Activity_Anniversary_exchange_error2"		"福卡数量不足"
		"Activity_Anniversary_changeCard"		"选择福卡"
		"Activity_Anniversary_stackunlock"		"再获得{d:count}次胜场后解锁"
		"Activity_Anniversary_stackcount"		"对局胜场"
		"Activity_Anniversary_banner"		"活动期间购买福卡技能后会获得福卡!"
		"Activity_Anniversary_OpenBox"		"使用福卡宝箱"
		"Activity_Anniversary_DropCount"		"每周福卡掉落上限：{d:count}/{d:target}"
		"Activity_Anniversary2"		"周年庆典"
		"Activity_Anniversary2_infodesc"		"周年活动期间对局当中的稀有技能和传奇技能有概率变成<font color='#ffe791'>福卡技能</font>，购买<font color='#ffe791'>福卡技能</font>后会获得随机福卡。<br><br><font color='#ff6965'>福卡每周有获取数量上限，达到上限后购买福卡技能不会再获得福卡。</font>"
		"Activity_Anniversary2_stacktotal"		"累计对局获胜次数: {d:count}"
		"Activity_Anniversary2_exchange"		"周年福卡兑换"
		"Activity_Anniversary2_exchange_title1"		"兑换列表"
		"Activity_Anniversary2_exchange_title2"		"可兑换次数"
		"Activity_Anniversary2_exchange_title3"		"所需福卡"
		"Activity_Anniversary2_exchange_error1"		"请选择福卡种类"
		"Activity_Anniversary2_exchange_error2"		"福卡数量不足"
		"Activity_Anniversary2_changeCard"		"选择福卡"
		"Activity_Anniversary2_stackunlock"		"再获得{d:count}次胜场后解锁"
		"Activity_Anniversary2_stackcount"		"对局胜场"
		"Activity_Anniversary2_banner"		"活动期间购买福卡技能后会获得福卡!"
		"Activity_Anniversary2_OpenBox"		"使用福卡宝箱"
		"Activity_Anniversary2_DropCount"		"每周福卡掉落上限：{d:count}/{d:target}"
		"Activity_Anniversary2_Info"		"参加周年庆典，集福卡兑换英雄皮肤"
		"Teammate_Hero"		"队友英雄"
		"Popup_UniversalHeroCard"		"自选英雄卡"
		"PlayerHeroLock_Description"		"<font color='#ff7d7d'>锁定</font>：选择想锁定的英雄，被锁定的英雄不会出现在自身的选择英雄池中<br><br>拥有30个英雄时，获得1个锁定位，之后每额外拥有5个英雄，增加1个锁定位，上限10个锁定位<br><br><font color='#f8e284'>会员卡生效期间可临时获得1个锁定位</font>"
		"artifact_extra_string_data"		"{s:key} : <font color='#e1e1e1'>{s:value}</font>"
		"ability_upgrades_mechanics_link_title"		"可强化效果"
		"ability_upgrades_mechanics_title"		"强化效果"
		"InterestNotMax"		"利息未满"
		"StarryTreasure_exchange"		"星海币兑换"
		"ItemRepeatConvert"		"转化"
		"ItemRepeatConvert_tips"		"已拥有的装扮将转化为星海币"
		"LadderPass_RushPack"		"购买进阶通行证"
		"LadderPass_RushPackDescription"		"激活{s:season}通行证<br>通行证等级立即提升<font color='#fef52a'>{d:level}级</font>！"
		"PeakScore5_at_1"		"报名规则"
		"PeakScore5_t_1"		"1、报名条件"
		"PeakScore5_1"		"S10赛季天梯段位达到【执政官】及以上即可报名参与"
		"PeakScore5_t_2"		"2、报名时间"
		"PeakScore5_2"		"7月10日-12日"
		"PeakScore5_t_3"		"3、报名入口"
		"PeakScore5_3"		"Dota2游廊搜索【电子斗蛐蛐-巅峰积分赛】，点击下载，安装完成后选择【Peak_Arena】地图开始游戏！<br><font class='GameplayValues'>*【Peak_Arena】地图将在报名时间内限时开放！</font>"
		"PeakScore5_t_4"		"4、报名方式"
		"PeakScore5_4"		"我们将在报名时间内通过【电子斗蛐蛐-巅峰积分赛】限时开放【Peak_Arena】地图，满足报名条件且对赛事感兴趣的斗友可通过该地图进行对局，根据每局排名情况累积赛事积分，我们将根据报名截止时间赛事积分情况判定报名是否成功！<br><font class='GameplayValues'>*您在【Peak_Arena】地图进行对局依然可以获得天梯奖杯，请知悉！</font>"
		"PeakScore5_t_5"		"5、赛事积分"
		"PeakScore5_5"		"您可通过【排行】-【巅峰榜】查看赛事积分排名情况！"
		"PeakScore5_t_8"		"6、赛区选择"
		"PeakScore5_21"		"请及时点击本页面下方【选择赛区】按钮进行赛区选择，如积分赛结束后未进行赛区选择的斗友，将被视为报名失败，敬请知悉！"
		"PeakScore5_at_2"		"积分赛说明"
		"PeakScore5_6"		"每场积分赛对局根据当场次排名可获得对应赛事积分（及天梯奖杯），官方将根据报名截止时间的赛事积分排行情况判定是否入选赛区初赛，详情如下："
		"PeakScore5_7"		"1、初始积分"
		"PeakScore5_8"		"{d:score}分"
		"PeakScore5_9"		"2、每场积分规则"
		"PeakScore5_10"		"每场赛事积分将根据您的赛事积分总数和当场排名获得："
		"PeakScore5_11"		"每场赛事天梯分将根据当场次排名获得："
