--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_modifier_elite_027_revive_buff,Вечное возрождение
DOTA_Tooltip_modifier_elite_027_revive_buff_Description,"После возрождения получает усиление: атака, скорость атаки и скорость передвижения увеличены на 100%%."
DOTA_Tooltip_modifier_elite_030_hooked,Зацеп паука
DOTA_Tooltip_modifier_elite_030_hooked_Description,"При попадании крюка паука вы не можете действовать и постоянно тянетесь к заклинателю, привлекая врагов вокруг для атаки."
DOTA_Tooltip_modifier_elite_030_hooked_aura_buff,Охота стаи
DOTA_Tooltip_modifier_elite_030_hooked_aura_buff_Description,"Вдохновлённые целью, зацепленной крюком паука, увеличивают атаку, скорость атаки и скорость передвижения."
DOTA_Tooltip_modifier_elite_036_stack,Метка тяжёлого удара
DOTA_Tooltip_modifier_elite_036_stack_Description,Каждый слой от обычной атаки этого юнита; при слоях больше 5 цель оглушается и сбрасывается.
DOTA_Tooltip_modifier_elite_044_reflect,Отражение урона
DOTA_Tooltip_modifier_elite_044_reflect_Description,При получении урона отражает часть урона атакующему.
DOTA_Tooltip_modifier_elite_046_dash,Рывок
DOTA_Tooltip_modifier_elite_046_dash_Description,"Быстрый рывок вперёд, наносящий урон врагам на пути."
DOTA_Tooltip_modifier_elite_050_stone_skin,Каменная кожа (сотрясение)
DOTA_Tooltip_modifier_elite_050_stone_skin_Description,Повышение брони и периодическое сотрясение врагов поблизости.
DOTA_Tooltip_modifier_elite_056_frenzy,Кристальное бешенство
DOTA_Tooltip_modifier_elite_056_frenzy_Description,"Повышение скорости передвижения и атаки, атаки наносят дополнительный урон кристальными лезвиями в небольшой области."
DOTA_Tooltip_modifier_elite_062_no_heal,Морозное запрещение лечения
DOTA_Tooltip_modifier_elite_062_no_heal_Description,Не может получать лечение.
DOTA_Tooltip_modifier_elite_066_crit_aura,Разрыв хаоса
DOTA_Tooltip_modifier_elite_066_crit_aura_Description,Союзники вокруг получают повышение критического удара.
DOTA_Tooltip_modifier_elite_066_crit_buff,Критический удар хаоса
DOTA_Tooltip_modifier_elite_066_crit_buff_Description,Повышение критического удара.
DOTA_Tooltip_modifier_elite_067_root,Морозная сеть (обездвиживание)
DOTA_Tooltip_modifier_elite_067_root_Description,"Опутан(а) морозной сетью, не может двигаться и испытывает сильное охлаждение."
DOTA_Tooltip_modifier_elite_068_latched,Прикреплённый ледяным пауком
DOTA_Tooltip_modifier_elite_068_latched_Description,"Ледяной паук вцепился в спину и постоянно кусает, нанося атаку каждую секунду."
DOTA_Tooltip_modifier_elite_070_ice_guard,Ледяная защита
DOTA_Tooltip_modifier_elite_070_ice_guard_Description,"Защищён льдом, не может двигаться, невосприимчив к физическому урону и постоянно восстанавливает здоровье."
DOTA_Tooltip_modifier_elite_103_plasma_slow,Плазменное поле
DOTA_Tooltip_modifier_elite_103_plasma_slow_Description,Скорость передвижения снижена.
DOTA_Tooltip_modifier_elite_109_thunder_strike_slow,Удар грома и ветра
DOTA_Tooltip_modifier_elite_109_thunder_strike_slow_Description,Скорость передвижения и атаки снижены.
DOTA_Tooltip_modifier_elite_111_sleep,Сомнамбула
DOTA_Tooltip_modifier_elite_111_sleep_Description,"Погружён в кошмарный сон, не может двигаться и постоянно получает урон."
DOTA_Tooltip_modifier_elite_126_unholy_aura_buff,Нечестивая аура
DOTA_Tooltip_modifier_elite_126_unholy_aura_buff_Description,Скорость восстановления здоровья повышена.
DOTA_Tooltip_modifier_elite_138_overgrowth_root,Переплетение деревьев
DOTA_Tooltip_modifier_elite_138_overgrowth_root_Description,"Скован корнями лесного мира, не может двигаться."
DOTA_Tooltip_modifier_elite_138_overgrowth_form,Явление гневного дерева
DOTA_Tooltip_modifier_elite_138_overgrowth_form_Description,"Размер увеличивается, скорость передвижения и сила атаки удваиваются."
DOTA_Tooltip_modifier_elite_139_earthshock_slow,Замедление от землетрясения
DOTA_Tooltip_modifier_elite_139_earthshock_slow_Description,Скорость передвижения значительно снижена.
DOTA_Tooltip_modifier_elite_140_overpower,Перегрузка гнева
DOTA_Tooltip_modifier_elite_140_overpower_Description,"Скорость атаки значительно увеличена, при попадании атаки накапливается сила атаки."
DOTA_Tooltip_modifier_normal_018_cultist_buff,Тело культиста
DOTA_Tooltip_modifier_normal_018_cultist_buff_Description,"Навсегда увеличивает здоровье, силу атаки и скорость передвижения; размер может увеличиться до 60%."
DOTA_Tooltip_modifier_normal_034_slow,Замедление прыжка
DOTA_Tooltip_modifier_normal_034_slow_Description,Скорость передвижения снижена на 50%.
DOTA_Tooltip_modifier_normal_041_dark_slow,Замедление тьмы
DOTA_Tooltip_modifier_normal_041_dark_slow_Description,Скорость передвижения снижена на 80%.
DOTA_Tooltip_modifier_normal_042_wound,Темная рана
DOTA_Tooltip_modifier_normal_042_wound_Description,Каждый слой снижает получаемое лечение на 20%%.
DOTA_Tooltip_modifier_normal_043_berserk,Берсерк
DOTA_Tooltip_modifier_normal_043_berserk_Description,"Скорость передвижения увеличена на 100%, скорость атаки увеличена на 100."
DOTA_Tooltip_modifier_normal_044_berserk,Берсерк
DOTA_Tooltip_modifier_normal_044_berserk_Description,"Скорость передвижения увеличена на 50%, скорость атаки увеличена на 50."
DOTA_Tooltip_modifier_energy_shield_recharge_cooldown,Перезарядка щита
DOTA_Tooltip_modifier_energy_shield_recharge_cooldown_Description,Перезарядка щита.
DOTA_Tooltip_modifier_base_energy_shield,Щит
DOTA_Tooltip_modifier_base_energy_shield_Description,"Блокирует большинство урона, но не может блокировать чистый урон. Не восстанавливается в течение 3 секунд после получения урона; после начала восстановления восстанавливает 25% в секунду."
DOTA_Tooltip_modifier_generic_bleed,Кровотечение
DOTA_Tooltip_modifier_generic_bleed_Description,"Периодически получает урон. Урон основан на финальном уроне, вызвавшем кровотечение. Повторное наложение увеличивает общий урон кровотечения."
DOTA_Tooltip_modifier_generic_burning,Горение
DOTA_Tooltip_modifier_generic_burning_Description,"Периодически получает чистый урон. Обычные цели получают 15% от текущего здоровья в секунду, элитные — 7.5%, боссы и лидеры — 1.5%."
DOTA_Tooltip_modifier_generic_poison,Отравление
DOTA_Tooltip_modifier_generic_poison_Description,"Периодически получает магический урон. Урон зависит от всех атрибутов наложившего, все уровни участвуют в расчёте общего урона от отравления."
DOTA_Tooltip_modifier_generic_slow,Заморозка
DOTA_Tooltip_modifier_generic_vulnerable,Уязвимость
DOTA_Tooltip_modifier_game_dda_daily_luck,Ежедневная удача
DOTA_Tooltip_modifier_game_dda_daily_luck_Description,Повышает удачу выпадения предметов. Каждый вход на карту расходует 1 единицу.
DOTA_Tooltip_modifier_env_darkness,Тьма
DOTA_Tooltip_modifier_env_darkness_Description,"Обзор снижен, наносимый урон снижен на 30%%, получаемый урон увеличен на 30%%. Враги в темноте используют более сильные способности."
DOTA_Tooltip_modifier_env_monster_darkness,Тёмное убежище
DOTA_Tooltip_modifier_env_monster_darkness_Description,Тьма
DOTA_Tooltip_modifier_no_heal,Запрет лечения
DOTA_Tooltip_modifier_no_heal_Description,Невозможно получить исцеление.
DOTA_Tooltip_modifier_ak_rune_arcane,Руна Arcane
DOTA_Tooltip_modifier_ak_rune_damage,Руна урона
DOTA_Tooltip_modifier_ak_rune_damage_Description,"Базовая атака увеличена на 80%%, урон способностей на 15%%."
DOTA_Tooltip_modifier_ak_rune_haste,Руна скорости
DOTA_Tooltip_modifier_ak_rune_haste_Description,"Скорость передвижения увеличена на 100, скорость атаки увеличена на 100."
DOTA_Tooltip_modifier_ak_rune_regen,Руна восстановления
DOTA_Tooltip_modifier_ak_rune_regen_Description,Восстанавливает 5%% здоровья и 5%% маны в секунду.
DOTA_Tooltip_modifier_ak_rune_shield,Руна щита
DOTA_Tooltip_modifier_ak_rune_shield_Description,Дает высокий предел щита.
DOTA_Tooltip_modifier_pa_012_assassination,Убийство
DOTA_Tooltip_modifier_pa_012_assassination_Description,Увеличивает базовый урон от атаки в зависимости от ловкости.
DOTA_Tooltip_modifier_item_0144_shadow_barrier,Теневой барьер
DOTA_Tooltip_modifier_item_0144_shadow_barrier_Description,Даёт иммунитет к эффектам отравления.
DOTA_Tooltip_modifier_item_0204_valor,Доблесть
DOTA_Tooltip_modifier_item_0204_valor_Description,При атаке или использовании способности увеличивает максимальное здоровье. Суммируется до указанного количества раз.
DOTA_Tooltip_modifier_item_0209_spellblade_dot,Проклятое лезвие
DOTA_Tooltip_modifier_item_0209_spellblade_dot_Description,Каждую секунду наносит магический урон на основе всех характеристик наложившего. При повторном наложении мгновенно наносит урон.
DOTA_Tooltip_modifier_item_0211_inertia,Инерция
DOTA_Tooltip_modifier_item_0211_inertia_Description,"Увеличивает скорость атаки, когда скорость передвижения превышает порог."
DOTA_Tooltip_modifier_item_0212_psionic_conversion,Псионическая конверсия
DOTA_Tooltip_modifier_item_0212_psionic_conversion_Description,При использовании способности даёт интеллект. Количество слоёв уменьшается со временем.
DOTA_Tooltip_modifier_item_0220_wingbeat_buff,Взмах крыльев
DOTA_Tooltip_modifier_item_0220_wingbeat_buff_Description,Повышает шанс критического удара на всей карте. Количество слоёв уменьшается со временем.
DOTA_Tooltip_modifier_item_0312_heal,Исцеление
DOTA_Tooltip_modifier_item_0312_heal_Description,Каждую секунду восстанавливает максимальное здоровье и щит.
DOTA_Tooltip_modifier_item_0315_king_backpack_aura,Владычество
DOTA_Tooltip_modifier_item_0315_king_backpack_aura_Description,Даёт дополнительные все характеристики.
DOTA_Tooltip_modifier_item_0352_empowered_strike,Усиленный удар
DOTA_Tooltip_modifier_item_0352_empowered_strike_Description,"Следующая атака наносит физический урон по области, равный запасу здоровья."
DOTA_Tooltip_modifier_item_0446_assault,Штурм
DOTA_Tooltip_modifier_item_0446_assault_Description,Увеличивает скорость атаки и урон (эффекты складываются).
DOTA_Tooltip_modifier_item_0447_assault,Штурм
DOTA_Tooltip_modifier_item_0447_assault_Description,Увеличивает скорость атаки и урон (эффекты складываются).
DOTA_Tooltip_modifier_item_0459_psionic_conversion,Псионическое преобразование
DOTA_Tooltip_modifier_item_0459_psionic_conversion_Description,После применения способности дает интеллект; стаки со временем исчезают.
DOTA_Tooltip_modifier_item_0461,Бесстрашие
DOTA_Tooltip_modifier_item_0461_Description,Увеличивает бонус к урону.
DOTA_Tooltip_modifier_item_0465,Кроворазрыв
DOTA_Tooltip_modifier_item_0465_Description,"Чем ниже здоровье, тем выше сопротивление урону."
DOTA_Tooltip_modifier_item_0466_shadow_wisdom,Теневая мудрость
DOTA_Tooltip_modifier_item_0466_shadow_wisdom_Description,"Получается при критическом магическом ударе; каждый стак дает +1% к урону от способностей, максимум 20 стаков, теряется 1 стак в секунду."
DOTA_Tooltip_modifier_item_0468_thunderstorm,Грозовой шторм
DOTA_Tooltip_modifier_item_0468_thunderstorm_Description,Обычные атаки вызывают молнию по площади; получаемый урон снижается.
DOTA_Tooltip_modifier_item_0469_swift_thunder,Быстрая молния
DOTA_Tooltip_modifier_item_0469_swift_thunder_Description,Значительно увеличивает скорость атаки.
DOTA_Tooltip_modifier_item_0473_swift_thunder,Быстрая молния
DOTA_Tooltip_modifier_item_0473_swift_thunder_Description,Значительно увеличивает скорость атаки.
DOTA_Tooltip_modifier_item_0502_assault,Штурм
DOTA_Tooltip_modifier_item_0502_assault_Description,Увеличивает скорость атаки и урон (эффекты складываются).
DOTA_Tooltip_modifier_item_0503_charge,Приготовление
DOTA_Tooltip_modifier_item_0503_charge_Description,Следующая атака наносит дополнительный физический урон. Можно накапливать несколько зарядов.
DOTA_Tooltip_modifier_item_0504,Кровавое эхо
DOTA_Tooltip_modifier_item_0504_Description,"Когда ваше кровотечение наносит урон врагу, определённая доля этого урона мгновенно применяется как физический урон, не учитываясь в общем пуле кровотечения."
DOTA_Tooltip_modifier_item_0505_shadow_wisdom,Мудрость теней
DOTA_Tooltip_modifier_item_0505_shadow_wisdom_Description,"Получается при магическом критическом ударе. Каждый заряд даёт +1% к урону способностей, максимум 20 зарядов. Теряется 1 заряд в секунду."
DOTA_Tooltip_modifier_item_0515,Кровавая закалка
DOTA_Tooltip_modifier_item_0515_Description,"При срабатывании вампиризма накапливает атаку, которая затем ежесекундно уменьшается."
DOTA_Tooltip_modifier_item_0516,Резонанс демона
DOTA_Tooltip_modifier_item_0516_Description,Каждый предмет из набора «Демон» увеличивает атаку.
DOTA_Tooltip_modifier_item_0523_afterimage,Штурм послеобраза
DOTA_Tooltip_modifier_item_0523_afterimage_Description,"После накопления определённого расстояния перемещения призывает послеобраз, атакующий фиксированную точку под ногами врага."
DOTA_Tooltip_modifier_item_0524_fire_spirits,Огненное сознание
DOTA_Tooltip_modifier_item_0524_fire_spirits_Description,"Перемещение накапливает заряды огненного сознания; при наличии врагов поблизости тратит заряды, выпуская огненные шары, наносящие урон, равный максимальному запасу маны, и, возможно, поджигающие."
DOTA_Tooltip_modifier_item_0525,Арканная печь
DOTA_Tooltip_modifier_item_0525_Description,"Весь физический урон, не являющийся обычной атакой, преобразуется в магический урон."
DOTA_Tooltip_modifier_item_0526,Резонанс мудреца
DOTA_Tooltip_modifier_item_0526_Description,"Чем больше предметов мудреца надето, тем выше бонус к мане и урону способностей (а также расход маны увеличивается)."
DOTA_Tooltip_modifier_item_0528,Заточка
DOTA_Tooltip_modifier_item_0528_Description,"При наложении уязвимости с вероятностью добавляется дополнительный заряд. Когда цель достигает максимального числа зарядов уязвимости, они взрываются, снимая всю уязвимость."
DOTA_Tooltip_modifier_item_0530_blast,Взрыв
DOTA_Tooltip_modifier_item_0530_blast_Description,"Щит опустошён и не восстанавливается, максимальное значение щита преобразуется в усиление атаки."
DOTA_Tooltip_modifier_item_0532_mortal_wound,Тяжёлая рана
DOTA_Tooltip_modifier_item_0532_mortal_wound_Description,Получаемое лечение и восстановление снижены.
DOTA_Tooltip_modifier_item_0533_unholy_frenzy,Нечистая ярость
DOTA_Tooltip_modifier_item_0533_unholy_frenzy_Description,Физический и магический вампиризм удваиваются.
DOTA_Tooltip_modifier_item_0540_brand,Выжигание
DOTA_Tooltip_modifier_item_0540_brand_Description,"Броня снижается, получаемый магический урон увеличивается, усиливается с уровнями горения."
DOTA_Tooltip_modifier_item_0541,Призма трансмутации
DOTA_Tooltip_modifier_item_0541_Description,Преобразует бонус к физическому урону в бонус к магическому урону.
DOTA_Tooltip_modifier_item_0544_judgment,Небесная кара
DOTA_Tooltip_modifier_item_0544_judgment_Description,"Сила атаки снижена, и невозможно получать любое лечение."
DOTA_Tooltip_modifier_item_0548,Алмазная защита
DOTA_Tooltip_modifier_item_0548_Description,Весь получаемый магический урон преобразуется в физический урон.
DOTA_Tooltip_modifier_item_0549,Теневая защита
DOTA_Tooltip_modifier_item_0549_Description,Весь получаемый физический урон преобразуется в магический урон.
DOTA_Tooltip_modifier_item_0550,Ярость отчаяния
DOTA_Tooltip_modifier_item_0550_Description,"Когда здоровье ниже порога, наносимый урон значительно увеличивается."
DOTA_Tooltip_modifier_item_0561,Испытание бедой
DOTA_Tooltip_modifier_item_0561_Description,За каждое полученное отрицательное состояние даёт дополнительный урон и уменьшение получаемого урона.
DOTA_Tooltip_modifier_item_0561_curse_slow,Шаткость
DOTA_Tooltip_modifier_item_0561_curse_slow_Description,Скорость передвижения снижена.
DOTA_Tooltip_modifier_item_0561_curse_mind,Раскол
DOTA_Tooltip_modifier_item_0561_curse_mind_Description,Сопротивление магии снижено.
DOTA_Tooltip_modifier_item_0561_curse_decay,Гниение
DOTA_Tooltip_modifier_item_0561_curse_decay_Description,Эффекты восстановления снижены.
DOTA_Tooltip_modifier_item_0563,Проклятие пещеры
DOTA_Tooltip_modifier_item_0563_Description,"Уклонение перестаёт действовать; при попадании атакой, за каждый предмет комплекта «Быстрая тень» наносит дополнительный физический урон, равный (шанс уклонения × ловкость)."
DOTA_Tooltip_modifier_item_0564,Псионическое постоянство
DOTA_Tooltip_modifier_item_0564_Description,"При попадании атакой с некоторой вероятностью восстанавливает 1 заряд случайному навыку, у которого заряд не полон."
DOTA_Tooltip_modifier_item_0565,Пламя искры
DOTA_Tooltip_modifier_item_0565_Description,"При нанесении урона врагу, находящемуся в состоянии горения, с вероятностью, зависящей от количества предметов комплекта «Сожжение мира», накладывает дополнительный 1 слой горения."
DOTA_Tooltip_modifier_item_0566_meltarmor,Расплавленная броня
DOTA_Tooltip_modifier_item_0566_meltarmor_Description,"Броня снижена, а получаемый магический урон увеличен."
DOTA_Tooltip_modifier_item_0567_mark,Метка охоты
DOTA_Tooltip_modifier_item_0567_mark_Description,"Получаемый урон от наложившего метку увеличен, усиливается с каждым уровнем."
DOTA_Tooltip_modifier_item_0569_pact,Кровавый договор
DOTA_Tooltip_modifier_item_0569_pact_Description,Часть получаемого урона откладывается и медленно истекает.
DOTA_Tooltip_modifier_item_0570,Проклятый резонанс
DOTA_Tooltip_modifier_item_0570_Description,При достижении порога негативных эффектов даёт глобальный шанс критического удара.
DOTA_Tooltip_modifier_item_0574,Равновесное накопление
DOTA_Tooltip_modifier_item_0574_Description,"Расходует ману для накопления энергии; при следующей атаке способностью тратит все заряды, увеличивая урон за каждый заряд."
DOTA_Tooltip_modifier_item_0575,Коррозийное кольцо
DOTA_Tooltip_modifier_item_0575_Description,Каждый тик вашего периодического урона сокращает время восстановления всех не заряжаемых способностей.
DOTA_Tooltip_modifier_item_0576,Проклятый огонь
DOTA_Tooltip_modifier_item_0576_Description,За каждое негативное состояние ваш периодический урон увеличивается.
DOTA_Tooltip_modifier_item_0577,Фолиант истощения душ
DOTA_Tooltip_modifier_item_0577_Description,При тике вашего периодического урона есть шанс наложить на вас одно проклятие истощения души.
DOTA_Tooltip_modifier_item_0577_curse,Истощение души
DOTA_Tooltip_modifier_item_0577_curse_Description,"Снижает скорость передвижения; если надет комплект ""Проклятие и истощение"", каждый заряд также увеличивает урон от способностей."
DOTA_Tooltip_modifier_item_0578,Призыв всего сущего
DOTA_Tooltip_modifier_item_0578_Description,"При наложении периодического урона есть шанс случайно добавить цели дополнительный тип периодического урона, которого у неё ещё нет."
DOTA_Tooltip_modifier_item_0579,Печать четырёх бедствий
DOTA_Tooltip_modifier_item_0579_Description,"На цели, одновременно имеющей ваши эффекты кровотечения, отравления, жжения и воспламенения, каждый тик периодического урона наносит дополнительный физический урон."
DOTA_Tooltip_modifier_item_0580,Перенос страданий
DOTA_Tooltip_modifier_item_0580_Description,Ваши собственные негативные эффекты в равной пропорции передаются окружающим врагам.
DOTA_Tooltip_modifier_item_0580_mirror,Разделение беды
DOTA_Tooltip_modifier_item_0580_mirror_Description,"Получает негативные эффекты атрибутов, переданные владельцем Колокольчика перехода."
DOTA_Tooltip_modifier_item_0581,Суд беды
DOTA_Tooltip_modifier_item_0581_Description,"Чем больше негативных состояний на цели, тем выше урон по ней."
DOTA_Tooltip_modifier_item_0593_erode,Разрушение
DOTA_Tooltip_modifier_item_0593_erode_Description,Постоянный урон накапливает уровни. Каждый уровень увеличивает глобальный шанс критического удара и критический урон; каждый теряется несколько уровней в секунду.
DOTA_Tooltip_modifier_item_0594,Король-одиночка
DOTA_Tooltip_modifier_item_0594_Description,"Цель без других врагов поблизости: ваш урон по ней увеличивается, а получаемый от неё урон снижается."
DOTA_Tooltip_modifier_item_0596_ritual,Кровавое жертвоприношение
DOTA_Tooltip_modifier_item_0596_ritual_Description,Наносимый урон увеличен; сгоревшее здоровье невозможно восстановить в течение действия.
DOTA_Tooltip_modifier_item_0597,Кость ва-банк
DOTA_Tooltip_modifier_item_0597_Description,Форма броска (уровни): 1【Ярость】физический урон увеличен; 2【Тайна】урон от способностей увеличен; 3【Судьба】глобальный шанс критического удара увеличен; 4【Скала】получаемый урон снижен.
DOTA_Tooltip_modifier_item_0598_link,Связь душ
DOTA_Tooltip_modifier_item_0598_link_Description,Связан душой с заклинателем: становится целью отражения физического урона.
DOTA_Tooltip_modifier_item_0599,Теневой танец
DOTA_Tooltip_modifier_item_0599_Description,"Часть шанса уклонения, превышающая порог, преобразуется в увеличение наносимого урона. Текущий бонус указан в уровнях."
DOTA_Tooltip_modifier_item_0602_surge,Излияние
DOTA_Tooltip_modifier_item_0602_surge_Description,Каждый уровень увеличивает затраты маны и урон от способностей; каждый период теряется один уровень.
DOTA_Tooltip_modifier_item_0602_distill,Дистилляция
DOTA_Tooltip_modifier_item_0602_distill_Description,"Каждый уровень увеличивает восстановление маны, но снижает урон от способностей; каждый период теряется один уровень."
DOTA_Tooltip_modifier_item_0603,Шестигранник
DOTA_Tooltip_modifier_item_0603_Description,"Когда Сила, Ловкость и Интеллект достигают порога, наносимый урон увеличивается, а получаемый урон снижается (слои = количество достигнутых атрибутов)."
DOTA_Tooltip_modifier_item_0604,Перегрев
DOTA_Tooltip_modifier_item_0604_Description,Каждый эффект с высоким уровнем наложения даёт один слой перегрева: каждый слой увеличивает урон от способностей и сжигает текущее здоровье в секунду.
DOTA_Tooltip_modifier_item_0607_mark,Проклятие
DOTA_Tooltip_modifier_item_0607_mark_Description,"Урон от способностей наложившего проклятие увеличивается, усиливается с каждым слоем."
DOTA_Tooltip_modifier_item_0608,Паранойя
DOTA_Tooltip_modifier_item_0608_Description,"Усиливает текущий самый высокий атрибут и ослабляет два других (1=Сила, 2=Ловкость, 3=Интеллект)."
DOTA_Tooltip_modifier_item_0609,Хаотический договор
DOTA_Tooltip_modifier_item_0609_Description,"Большая часть максимального здоровья забирается договором, превращаясь в эквивалентно увеличенный максимальный щит."
DOTA_Tooltip_modifier_item_0610_excess,Избыток
DOTA_Tooltip_modifier_item_0610_excess_Description,Превышение предела шанса критического удара превращается в урон от крита (слои = текущий процент усиления).
DOTA_Tooltip_modifier_item_0611,Все блага
DOTA_Tooltip_modifier_item_0611_Description,Каждый положительный эффект на персонаже увеличивает наносимый урон (слои = количество учтённых положительных эффектов).
DOTA_Tooltip_modifier_item_0612,Циклический избыток
DOTA_Tooltip_modifier_item_0612_Description,Превышение порога сокращения времени восстановления превращается в урон от способностей (слои = текущий процент усиления).
DOTA_Tooltip_modifier_item_0613,Огнеупорность
DOTA_Tooltip_modifier_item_0613_Description,Иммунитет к ожогам.
DOTA_Tooltip_modifier_item_0614_debt,Долг
DOTA_Tooltip_modifier_item_0614_debt_Description,"Накопленные уровни долга (макс. 40). Если в течение 5 секунд не накапливается новый долг, автоматически погашается 2 уровня в секунду."
DOTA_Tooltip_modifier_item_0615,Ростовщичество
DOTA_Tooltip_modifier_item_0615_Description,"Увеличивает магический урон; когда «Долг» заполнен до предела, бонус к урону отключается, пока не освободится место."
DOTA_Tooltip_modifier_item_0619,Солнечная печь
DOTA_Tooltip_modifier_item_0619_Description,Физический урон от не-обычных атак преобразуется в эквивалентный магический урон.
DOTA_Tooltip_modifier_item_0622,Дробящий звёзды
DOTA_Tooltip_modifier_item_0622_Description,При критическом попадании физической атакой есть шанс наложить 1 слой уязвимости на цель.
DOTA_Tooltip_modifier_item_P051_nature_gift,Эликсир природы
DOTA_Tooltip_modifier_item_P051_nature_gift_Description,Увеличивает базовое здоровье и даёт иммунитет к эффектам отравления.
DOTA_Tooltip_modifier_item_P052_antidote,Антидот
DOTA_Tooltip_modifier_item_P052_antidote_Description,Получаемый урон от отравления значительно снижен.
DOTA_Tooltip_modifier_item_P053_lightning_potion,Зелье молнии
DOTA_Tooltip_modifier_item_P053_lightning_potion_Description,Основная атака при попадании выпускает цепную молнию.
DOTA_Tooltip_modifier_item_P054_thunderclap_potion,Раскат грома
DOTA_Tooltip_modifier_item_P054_thunderclap_potion_Description,"Следующая основная атака при попадании по монстру оглушает его; если монстр читает заклинание, принудительно срабатывает прерывание."
DOTA_Tooltip_modifier_item_P055_potion,Зелье сопротивления магии
DOTA_Tooltip_modifier_item_P055_potion_Description,Повышение сопротивления магии.
DOTA_Tooltip_modifier_item_M223_thunderized,Электрификация
DOTA_Tooltip_modifier_item_M223_thunderized_Description,Значительно уменьшает получаемый урон от молний и позволяет проходить через молниевые стены.
DOTA_Tooltip_modifier_boss_storm_phase_summon_slow,Замедление от громового взрыва
DOTA_Tooltip_modifier_boss_storm_phase_summon_slow_Description,Скорость передвижения снижена.
DOTA_Tooltip_modifier_elite_029_web_aura_effect,Область паутины
DOTA_Tooltip_modifier_elite_029_web_aura_effect_Description,"Союзники-пауки в паутине получают скорость передвижения и атаки, а враги замедляются на 20%."
DOTA_Tooltip_modifier_elite_043_slow,Эрозия пустоты
DOTA_Tooltip_modifier_elite_043_slow_Description,Под воздействием энергии пустоты скорость передвижения снижена на 75%.
DOTA_Tooltip_modifier_elite_060_slow,Ледяное преследование
DOTA_Tooltip_modifier_elite_060_slow_Description,Скорость передвижения снижена на 40%.
DOTA_Tooltip_modifier_elite_063_no_heal,Ледяная порча крови
DOTA_Tooltip_modifier_elite_063_no_heal_Description,Эффект вампиризма снижен на 50%.
DOTA_Tooltip_modifier_elite_136_bramble_slow,Замедление корнями
DOTA_Tooltip_modifier_elite_136_bramble_slow_Description,"Сильно замедлен корнями, скорость передвижения снижена на 90%."
DOTA_Tooltip_modifier_elite_137_feast,Укус плотоядного цветка
DOTA_Tooltip_modifier_elite_137_feast_Description,"Обездвиживание и молчание от растения-людоеда, наносит периодический урон."
DOTA_Tooltip_modifier_elite_144_empowered_attacks,Остаточная сила удара
DOTA_Tooltip_modifier_elite_144_empowered_attacks_Description,Следующие 3 атаки получают 50% скорости атаки и восстанавливают 15% максимального здоровья при попадании.
DOTA_Tooltip_modifier_elite_305_borrowed_time,Заимствованное время
DOTA_Tooltip_modifier_elite_305_borrowed_time_Description,"Не получает никакого урона, полученный урон преобразуется в лечение."
DOTA_Tooltip_modifier_elite_306_swarm_latch,Заражение роем
DOTA_Tooltip_modifier_elite_306_swarm_latch_Description,"Одно насекомое прикрепляется к цели, нанося периодический урон. Убийство насекомого снимает эффект досрочно."
DOTA_Tooltip_modifier_elite_307_collision_slow,Удар с разгона
DOTA_Tooltip_modifier_elite_307_collision_slow_Description,"Задет временным двойником, скорость передвижения временно снижена до минимума."
DOTA_Tooltip_modifier_elite_308_ground_leash,Привязь сети
DOTA_Tooltip_modifier_elite_308_ground_leash_Description,"Привязан к точке падения сюрикена. При удалении от якоря скорость передвижения постепенно снижается, при превышении диапазона невозможно отдалиться дальше."
DOTA_Tooltip_modifier_elite_325_guard,Защита зрения
DOTA_Tooltip_modifier_elite_329_non_item_heal_reduction,Ледяное прерывание лечения
DOTA_Tooltip_modifier_elite_329_non_item_heal_reduction_Description,"Эффективность восстановления здоровья от источников, не являющихся предметами, снижена на 50%."
DOTA_Tooltip_modifier_normal_022_13005_debuff,Неистовая рана
DOTA_Tooltip_modifier_normal_022_13005_debuff_Description,Получаемое лечение снижено на 50%%.
DOTA_Tooltip_modifier_normal_022_13005_slow,Неистовое замедление
DOTA_Tooltip_modifier_normal_022_13005_slow_Description,Скорость передвижения снижена на 50%%.
DOTA_Tooltip_modifier_normal_029_mana_slow,Пустотное замедление
DOTA_Tooltip_modifier_normal_029_mana_slow_Description,Скорость передвижения снижена на 50%.
DOTA_Tooltip_modifier_normal_042_shield_suppress,Подавление щита
DOTA_Tooltip_modifier_normal_042_shield_suppress_Description,Базовый щит не восстанавливается.
DOTA_Tooltip_modifier_normal_046_damage_reduction,Защита рывка
DOTA_Tooltip_modifier_normal_046_damage_reduction_Description,Получает 80%% снижения урона.
DOTA_Tooltip_modifier_normal_049_weaken,Ослабление
DOTA_Tooltip_modifier_normal_049_weaken_Description,Не может наносить критические удары.
DOTA_Tooltip_modifier_roshan_003_grabbed,Захват Рошана
DOTA_Tooltip_modifier_roshan_003_grabbed_Description,Схвачен Рошаном и будет брошен.
DOTA_Tooltip_modifier_generic_ignite,Поджог
