--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_modifier_elite_070_ice_guard,Frost Valley Ward
DOTA_Tooltip_modifier_elite_070_ice_guard_Description,"Frozen in protective ice, unable to act. Immune to physical damage and continuously regenerates health."
DOTA_Tooltip_modifier_elite_103_plasma_slow,Plasma Field
DOTA_Tooltip_modifier_elite_103_plasma_slow_Description,Movement speed reduced.
DOTA_Tooltip_modifier_elite_109_thunder_strike_slow,Wind and Thunder Strike
DOTA_Tooltip_modifier_elite_109_thunder_strike_slow_Description,Movement speed and attack speed reduced.
DOTA_Tooltip_modifier_elite_111_sleep,Sleepwalking
DOTA_Tooltip_modifier_elite_111_sleep_Description,"Trapped in a nightmare sleep, unable to act and continuously taking damage."
DOTA_Tooltip_modifier_elite_126_unholy_aura_buff,Unholy Aura
DOTA_Tooltip_modifier_elite_126_unholy_aura_buff_Description,Health regeneration increased.
DOTA_Tooltip_modifier_normal_018_cultist_buff,Sacrificial Body
DOTA_Tooltip_modifier_normal_018_cultist_buff_Description,"Permanently increases health, attack damage and movement speed; body size increased by up to 60%."
DOTA_Tooltip_modifier_normal_034_slow,Leaping Shock Slow
DOTA_Tooltip_modifier_normal_034_slow_Description,Movement speed reduced by 50%.
DOTA_Tooltip_modifier_normal_041_dark_slow,Extinguished Slow
DOTA_Tooltip_modifier_normal_041_dark_slow_Description,Movement speed reduced by 80%.
DOTA_Tooltip_modifier_normal_042_wound,Shadow-Eaten Wound
DOTA_Tooltip_modifier_normal_042_wound_Description,Reduces healing received by 20%% per stack.
DOTA_Tooltip_modifier_normal_043_berserk,Berserk
DOTA_Tooltip_modifier_normal_043_berserk_Description,"Movement speed increased by 100%, attack speed increased by 100."
DOTA_Tooltip_modifier_normal_044_berserk,Berserk
DOTA_Tooltip_modifier_normal_044_berserk_Description,"Movement speed increased by 50%, attack speed increased by 50."
DOTA_Tooltip_modifier_energy_shield_recharge_cooldown,Shield Recharge Cooldown
DOTA_Tooltip_modifier_energy_shield_recharge_cooldown_Description,Shield Recharging
DOTA_Tooltip_modifier_base_energy_shield,Shield
DOTA_Tooltip_modifier_base_energy_shield_Description,"Blocks most damage, but cannot block Pure damage. Does not recover for 3 seconds after taking damage; once recovery begins, restores 25% per second."
DOTA_Tooltip_modifier_generic_bleed,Bleed
DOTA_Tooltip_modifier_generic_bleed_Description,Takes periodic damage. Damage is based on the final damage that caused the bleed; reapplying increases total bleed damage over time.
DOTA_Tooltip_modifier_generic_burning,Burn
DOTA_Tooltip_modifier_generic_burning_Description,"Takes periodic Pure damage. Normal targets take 15% of current health per second, elites 7.5%, bosses and leaders 1.5%."
DOTA_Tooltip_modifier_generic_poison,Poison
DOTA_Tooltip_modifier_generic_poison_Description,Takes periodic magical damage. Damage based on the caster's total attributes; all stacks contribute to total poison damage.
DOTA_Tooltip_modifier_generic_slow,Freeze
DOTA_Tooltip_modifier_generic_slow_Description,"Reduces movement and attack speed. Each stack reduces by 3%, up to 10 stacks."
DOTA_Tooltip_modifier_generic_vulnerable,Vulnerable
DOTA_Tooltip_modifier_generic_vulnerable_Description,"Increases all damage taken. Initially increases by 20%, each additional stack increases by 5%, up to 40%."
DOTA_Tooltip_modifier_game_dda_daily_luck,Daily Luck
DOTA_Tooltip_modifier_game_dda_daily_luck_Description,Increases item drop luck. Consumes 1 point each time you enter a map.
DOTA_Tooltip_modifier_env_darkness,Darkness
DOTA_Tooltip_modifier_env_darkness_Description,"Reduced vision. Damage dealt reduced by 30%%, damage taken increased by 30%%. Monsters' abilities are more powerful in darkness."
DOTA_Tooltip_modifier_env_monster_darkness,Dark Shelter
DOTA_Tooltip_modifier_env_monster_darkness_Description,Darkness
DOTA_Tooltip_modifier_no_heal,Healing Block
DOTA_Tooltip_modifier_no_heal_Description,Cannot receive any healing.
DOTA_Tooltip_modifier_ak_rune_arcane,Arcane Rune
DOTA_Tooltip_modifier_ak_rune_arcane_Description,25% Cooldown reduction and 30% Mana cost reduction.
DOTA_Tooltip_modifier_ak_rune_damage,Damage Rune
DOTA_Tooltip_modifier_ak_rune_haste,Haste Rune
DOTA_Tooltip_modifier_ak_rune_regen,Regeneration Rune
DOTA_Tooltip_modifier_ak_rune_shield,Shield Rune
DOTA_Tooltip_modifier_ak_rune_shield_Description,Grants a large shield capacity.
DOTA_Tooltip_modifier_item_0225_guard,Guard
DOTA_Tooltip_modifier_item_0225_guard_Description,Grants temporary max shield and reduces movement speed.
DOTA_Tooltip_modifier_item_P050_potion,Attack Potion
DOTA_Tooltip_modifier_item_P050_potion_Description,Attack damage increased.
DOTA_Tooltip_modifier_boss_rubick_sand_4_center_slow,Seismic Core
DOTA_Tooltip_modifier_ak_rune_damage_Description,"Base attack damage increased by 80%%, spell damage by 15%%."
DOTA_Tooltip_modifier_ak_rune_haste_Description,"Movement speed increased by 100%%, attack speed increased by 100."
DOTA_Tooltip_modifier_ak_rune_regen_Description,Restores 5%% health and 5%% mana per second.
DOTA_Tooltip_modifier_lina_013_light_strike_stack,Light Strike Array Afterglow
DOTA_Tooltip_modifier_lina_013_light_strike_stack_Description,Each stack increases movement speed.
DOTA_Tooltip_modifier_lina_013_light_strike_overload,Divine Status
DOTA_Tooltip_modifier_lina_013_light_strike_overload_Description,"Increases damage, reduces damage taken, and boosts attack speed and movement speed."
DOTA_Tooltip_modifier_elite_027_revive_buff,Eternal Revival
DOTA_Tooltip_modifier_elite_027_revive_buff_Description,"Gains enhancement after revival, increasing attack damage, attack speed, and movement speed by 100%%."
DOTA_Tooltip_modifier_elite_138_overgrowth_root,Tree Realm Entangle
DOTA_Tooltip_modifier_elite_138_overgrowth_root_Description,"Entangled by the roots of the Tree Realm, unable to move."
DOTA_Tooltip_modifier_elite_138_overgrowth_form,Bane Tree Descent
DOTA_Tooltip_modifier_elite_138_overgrowth_form_Description,"Increases size, doubles movement speed and attack damage."
DOTA_Tooltip_modifier_elite_139_earthshock_slow,Earthshock Slow
DOTA_Tooltip_modifier_elite_139_earthshock_slow_Description,Movement speed is greatly reduced.
DOTA_Tooltip_modifier_elite_140_overpower,Rage Overcharge
DOTA_Tooltip_modifier_elite_140_overpower_Description,"Greatly increases attack speed, stacking attack damage on each attack hit."
DOTA_Tooltip_modifier_item_P046_potion_Description,Meditation. Increases mana regeneration by 18 per second and reduces skill mana cost by 15% for 600 seconds {包括血蓝}
DOTA_Tooltip_modifier_pa_012_assassination,Assassination
DOTA_Tooltip_modifier_pa_012_assassination_Description,Increases base attack damage based on agility.
DOTA_Tooltip_modifier_item_0144_shadow_barrier,Shadow Barrier
DOTA_Tooltip_modifier_item_0144_shadow_barrier_Description,Immune to poison effects.
DOTA_Tooltip_modifier_item_0204_valor,Valor
DOTA_Tooltip_modifier_item_0204_valor_Description,"Grants max health when attacking or casting spells, stacking up to a specified number of times."
DOTA_Tooltip_modifier_item_0209_spellblade_dot,Spellblade Combo
DOTA_Tooltip_modifier_item_0209_spellblade_dot_Description,Takes magical damage per second based on the caster's all attributes. Re-applying triggers an immediate damage instance.
DOTA_Tooltip_modifier_item_0211_inertia,Inertial Potential
DOTA_Tooltip_modifier_item_0211_inertia_Description,Increases attack speed when movement speed exceeds a threshold.
DOTA_Tooltip_modifier_item_0212_psionic_conversion,Psionic Conversion
DOTA_Tooltip_modifier_item_0212_psionic_conversion_Description,Grants intelligence after casting a spell. Stacks decay over time.
DOTA_Tooltip_modifier_item_0220_wingbeat_buff,Wingbeat
DOTA_Tooltip_modifier_item_0220_wingbeat_buff_Description,Increases global critical strike chance. Stacks decay over time.
DOTA_Tooltip_modifier_item_0312_heal,Heal
DOTA_Tooltip_modifier_item_0312_heal_Description,Recovers max health and shield amount per second.
DOTA_Tooltip_modifier_item_0315_king_backpack_aura,Royal Presence
DOTA_Tooltip_modifier_item_0315_king_backpack_aura_Description,Gains bonus all attributes.
DOTA_Tooltip_modifier_item_0352_empowered_strike,Empowered Strike
DOTA_Tooltip_modifier_item_0352_empowered_strike_Description,The next attack deals area physical damage based on health.
DOTA_Tooltip_modifier_item_0446_assault,Assault
DOTA_Tooltip_modifier_item_0446_assault_Description,Increases attack speed and attack damage (stacks).
DOTA_Tooltip_modifier_item_0447_assault,Assault
DOTA_Tooltip_modifier_item_0447_assault_Description,Increases attack speed and attack damage (stacks).
DOTA_Tooltip_modifier_item_0459_psionic_conversion,Psionic Conversion
DOTA_Tooltip_modifier_item_0459_psionic_conversion_Description,Grants intelligence after casting a spell. Stacks decay over time.
DOTA_Tooltip_modifier_item_0461,Fearless
DOTA_Tooltip_modifier_item_0461_Description,Damage bonus increased.
DOTA_Tooltip_modifier_item_0465,Blood Rift
DOTA_Tooltip_modifier_item_0465_Description,"The lower the health, the higher the damage reduction."
DOTA_Tooltip_modifier_item_0466_shadow_wisdom,Shadow Wisdom
DOTA_Tooltip_modifier_item_0466_shadow_wisdom_Description,"Gained on magic crit. Each stack grants +1% spell damage, max 20 stacks, loses 1 stack per second."
DOTA_Tooltip_modifier_item_0468_thunderstorm,Thunderstorm
DOTA_Tooltip_modifier_item_0468_thunderstorm_Description,Basic attacks trigger a lightning strike in an area. Reduces damage taken.
DOTA_Tooltip_modifier_item_0469_swift_thunder,Swift Thunder
DOTA_Tooltip_modifier_item_0469_swift_thunder_Description,Greatly increases attack speed.
DOTA_Tooltip_modifier_item_0473_swift_thunder,Swift Thunder
DOTA_Tooltip_modifier_item_0473_swift_thunder_Description,Greatly increases attack speed.
DOTA_Tooltip_modifier_item_0502_assault,Assault
DOTA_Tooltip_modifier_item_0502_assault_Description,Increases attack speed and attack damage (stacks).
DOTA_Tooltip_modifier_item_0503_charge,Charge
DOTA_Tooltip_modifier_item_0503_charge_Description,Your next attack deals bonus physical damage. Can store multiple charges.
DOTA_Tooltip_modifier_item_0504,Blood Pool Echo
DOTA_Tooltip_modifier_item_0504_Description,"When your bleed deals damage to an enemy, a portion of that bleed damage is directly dealt as physical damage, bypassing the bleed pool."
DOTA_Tooltip_modifier_item_0505_shadow_wisdom,Sage Wisdom
DOTA_Tooltip_modifier_item_0505_shadow_wisdom_Description,"Acquired on magic crit. Each stack grants +1% spell damage, up to 20 stacks, losing 1 stack per second."
DOTA_Tooltip_modifier_item_0515,Bloodthirsty Edge
DOTA_Tooltip_modifier_item_0515_Description,"Accumulates attack damage when lifesteal triggers, then decays per second."
DOTA_Tooltip_modifier_item_0516,Demon Resonance
DOTA_Tooltip_modifier_item_0516_Description,Each [Demon] set item increases attack damage.
DOTA_Tooltip_modifier_item_0523_afterimage,Afterimage Strike
DOTA_Tooltip_modifier_item_0523_afterimage_Description,"After accumulating movement distance, summon an afterimage to strike the fixed location beneath the enemy."
DOTA_Tooltip_modifier_item_0524_fire_spirits,Fire Spirits
DOTA_Tooltip_modifier_item_0524_fire_spirits_Description,"Accumulate Fire Spirits stacks while moving; when an enemy is nearby, consume a stack to launch a fireball dealing magic damage equal to max mana and potentially burning."
DOTA_Tooltip_modifier_item_0525,Arcane Furnace
DOTA_Tooltip_modifier_item_0525_Description,All non-attack physical damage is converted to magic damage.
DOTA_Tooltip_modifier_item_0526,Sage Resonance
DOTA_Tooltip_modifier_item_0526_Description,"The more Sage items you wear, the higher the mana and spell damage bonuses (mana cost also increases)."
DOTA_Tooltip_modifier_item_0528,Edge Charge
DOTA_Tooltip_modifier_item_0528_Description,"When you apply vulnerability, there is a chance to add an extra stack. When the target's vulnerability reaches max stacks, it detonates and removes all vulnerability."
DOTA_Tooltip_modifier_item_0530_blast,Blast Combat
DOTA_Tooltip_modifier_item_0530_blast_Description,Shield is emptied and cannot recover. Max shield value is converted into attack power.
DOTA_Tooltip_modifier_item_0532_mortal_wound,Mortal Wound
DOTA_Tooltip_modifier_item_0532_mortal_wound_Description,Healing and regeneration effects are reduced.
DOTA_Tooltip_modifier_item_0533_unholy_frenzy,Unholy Frenzy
DOTA_Tooltip_modifier_item_0533_unholy_frenzy_Description,Physical and magical lifesteal are doubled.
DOTA_Tooltip_modifier_item_0540_brand,Ignition
DOTA_Tooltip_modifier_item_0540_brand_Description,"Armor reduced and magical damage taken increased, scaling with ignition stacks."
DOTA_Tooltip_modifier_item_0541,Transmutation Prism
DOTA_Tooltip_modifier_item_0541_Description,Converts physical damage bonus into magical damage bonus.
DOTA_Tooltip_modifier_item_0544_judgment,Judgment
DOTA_Tooltip_modifier_item_0544_judgment_Description,Attack damage reduced and cannot receive any healing effects.
DOTA_Tooltip_modifier_item_0548,Diamond Body
DOTA_Tooltip_modifier_item_0548_Description,All magical damage taken is converted into physical damage.
DOTA_Tooltip_modifier_item_0549,Shadow Body
DOTA_Tooltip_modifier_item_0549_Description,All physical damage taken is converted into magical damage.
DOTA_Tooltip_modifier_item_0550,Fury of the Last Stand
DOTA_Tooltip_modifier_item_0550_Description,"When health is below the threshold, damage dealt is significantly increased."
DOTA_Tooltip_modifier_item_0561,Quench of Misfortune
DOTA_Tooltip_modifier_item_0561_Description,Gain bonus damage and damage reduction for each negative status effect received.
DOTA_Tooltip_modifier_item_0561_curse_slow,Stagger
DOTA_Tooltip_modifier_item_0561_curse_slow_Description,Movement speed reduced.
DOTA_Tooltip_modifier_item_0561_curse_mind,Mind Fracture
DOTA_Tooltip_modifier_item_0561_curse_mind_Description,Magic resistance reduced.
DOTA_Tooltip_modifier_item_0561_curse_decay,Foul Nourishment
DOTA_Tooltip_modifier_item_0561_curse_decay_Description,Heal and regen reduced.
DOTA_Tooltip_modifier_item_0563,Cave Curse
DOTA_Tooltip_modifier_item_0563_Description,"Evasion no longer works. On attack hit, for each Shadow Set item, deal bonus physical damage equal to (evasion chance × agility) to the target."
DOTA_Tooltip_modifier_item_0564,Psychic Continuance
DOTA_Tooltip_modifier_item_0564_Description,"On attack hit, there is a chance to restore 1 charge to a random skill that is not fully charged."
DOTA_Tooltip_modifier_item_0565,A Single Spark
DOTA_Tooltip_modifier_item_0565_Description,"When dealing damage to an ignited enemy, there is a chance to apply 1 additional stack of ignite based on the number of Inferno Set items equipped."
DOTA_Tooltip_modifier_item_0566_meltarmor,Melting Armor
DOTA_Tooltip_modifier_item_0566_meltarmor_Description,Armor reduced and incoming magic damage increased.
DOTA_Tooltip_modifier_item_0567_mark,Hunting Mark
DOTA_Tooltip_modifier_item_0567_mark_Description,"Takes increased damage from the mark applier, scaling with the number of stacks."
DOTA_Tooltip_modifier_item_0569_pact,Blood Pact
DOTA_Tooltip_modifier_item_0569_pact_Description,The delayed portion of incoming damage is slowly draining.
DOTA_Tooltip_modifier_item_0570,Curse Resonance
DOTA_Tooltip_modifier_item_0570_Description,"When negative status effects reach a threshold, gain global critical strike chance."
DOTA_Tooltip_modifier_item_0574,Equilibrium Charge
DOTA_Tooltip_modifier_item_0574_Description,"Consumes mana to build up charges; the next skill damage consumes all charges, each increasing that damage."
DOTA_Tooltip_modifier_item_0575,Corrosion Rings
DOTA_Tooltip_modifier_item_0575_Description,"Each time your damage over time ticks, reduce the cooldown of all your non-charged abilities."
DOTA_Tooltip_modifier_item_0576,Cursed Fire
DOTA_Tooltip_modifier_item_0576_Description,"For each negative status effect you suffer, your damage over time is increased."
DOTA_Tooltip_modifier_item_0577,Tome of Soul Erosion
DOTA_Tooltip_modifier_item_0577_Description,"When your damage over time ticks, there is a chance to apply a stack of Soul Erosion Curse to yourself."
DOTA_Tooltip_modifier_item_0577_curse,Soul Erosion
DOTA_Tooltip_modifier_item_0577_curse_Description,"Reduces movement speed; if wearing the Curse & Erosion two-piece set, each stack also increases skill damage."
DOTA_Tooltip_modifier_item_0578,Universal Attraction
DOTA_Tooltip_modifier_item_0578_Description,"When applying a damage over time effect, there is a chance to add a random damage over time effect that the target does not already have."
DOTA_Tooltip_modifier_item_0579,Seal of Four Plagues
DOTA_Tooltip_modifier_item_0579_Description,"Targets suffering from your Bleed, Poison, Burn, and Ignite effects have each of their damage over time ticks also deal an additional instance of physical damage."
DOTA_Tooltip_modifier_item_0580,Shared Suffering
DOTA_Tooltip_modifier_item_0580_Description,The negative status effects you suffer are also applied to nearby enemies proportionally.
DOTA_Tooltip_modifier_item_0580_mirror,Shared Misfortune
DOTA_Tooltip_modifier_item_0580_mirror_Description,Suffers negative status effects transferred from the Bell of Crossing Calamity holder.
DOTA_Tooltip_modifier_item_0581,Judgment of Calamity
DOTA_Tooltip_modifier_item_0581_Description,Deals increased damage per negative status on the target.
DOTA_Tooltip_modifier_item_0593_erode,Erosion
DOTA_Tooltip_modifier_item_0593_erode_Description,Continuous damage builds stacks. Each stack increases global critical chance and critical damage. Loses a few stacks per second.
DOTA_Tooltip_modifier_item_0594,Lord of Solitude
DOTA_Tooltip_modifier_item_0594_Description,Targets with no other enemies nearby: you deal increased damage to them and take reduced damage from them.
DOTA_Tooltip_modifier_item_0596_ritual,Blood Ritual
DOTA_Tooltip_modifier_item_0596_ritual_Description,Increases damage dealt. Life lost to burning cannot be recovered during the duration.
DOTA_Tooltip_modifier_item_0597,All-In Dice
DOTA_Tooltip_modifier_item_0597_Description,Dice form (stacks): 1 [Fury] increases physical damage; 2 [Arcane] increases spell damage; 3 [Destiny] increases global critical chance; 4 [Boulder] reduces damage taken.
DOTA_Tooltip_modifier_item_0598_link,Soul Link
DOTA_Tooltip_modifier_item_0598_link_Description,Linked to the caster's soul: becomes the target of their reflected physical damage.
DOTA_Tooltip_modifier_item_0599,Shadow Dance
DOTA_Tooltip_modifier_item_0599_Description,Evasion exceeding the threshold is converted into increased damage dealt. Current bonus shown in stacks.
DOTA_Tooltip_modifier_item_0602_surge,Overflow
DOTA_Tooltip_modifier_item_0602_surge_Description,Each stack increases mana cost and spell damage. Loses one stack every interval.
DOTA_Tooltip_modifier_item_0602_distill,Distill
DOTA_Tooltip_modifier_item_0602_distill_Description,Each stack increases mana regeneration but reduces spell damage. Loses one stack every interval.
DOTA_Tooltip_modifier_item_0603,Hexapole
DOTA_Tooltip_modifier_item_0603_Description,"When Strength, Agility, and Intelligence all meet thresholds, damage dealt is increased and damage taken is reduced (stacks = number of dimensions currently meeting thresholds)."
DOTA_Tooltip_modifier_item_0604,Overheat
DOTA_Tooltip_modifier_item_0604_Description,Gain one Overheat stack for each high-stack buff: each stack increases spell damage and burns current health per second.
DOTA_Tooltip_modifier_item_0607_mark,Cursebind
DOTA_Tooltip_modifier_item_0607_mark_Description,"Increases spell damage taken from the mark applier, scaling with stacks."
DOTA_Tooltip_modifier_item_0608,Paranoia
DOTA_Tooltip_modifier_item_0608_Description,"Enhances the highest attribute and weakens the other two (1=Strength, 2=Agility, 3=Intelligence)."
DOTA_Tooltip_modifier_item_0609,Pact of Chaos
DOTA_Tooltip_modifier_item_0609_Description,Most of the max health is taken by the pact and converted into an equivalently amplified shield max.
DOTA_Tooltip_modifier_item_0610_excess,Overcap
DOTA_Tooltip_modifier_item_0610_excess_Description,Converts the portion exceeding the critical strike chance cap into critical strike damage (stacks = current bonus percentage).
DOTA_Tooltip_modifier_item_0611,All Benefits
DOTA_Tooltip_modifier_item_0611_Description,Each buff on the unit increases damage dealt (stacks = number of buffs currently counted).
DOTA_Tooltip_modifier_item_0612,Cooldown Overcap
DOTA_Tooltip_modifier_item_0612_Description,Converts the portion exceeding the cooldown reduction cap into spell damage (stacks = current bonus percentage).
DOTA_Tooltip_modifier_item_0613,Fire Ward
DOTA_Tooltip_modifier_item_0613_Description,Immune to burning.
DOTA_Tooltip_modifier_item_0614_debt,Debt
DOTA_Tooltip_modifier_item_0614_debt_Description,"Debt stacks (max 40). If no new debt is incurred for 5 consecutive seconds, automatically repay 2 stacks per second."
DOTA_Tooltip_modifier_item_0615,Usury
DOTA_Tooltip_modifier_item_0615_Description,"Increases magic damage; when Debt is maxed out, this damage bonus is suspended until debt is repaid to free up space."
DOTA_Tooltip_modifier_item_0619,Solar Furnace
DOTA_Tooltip_modifier_item_0619_Description,Converts non-basic attack physical damage into proportional magic damage.
DOTA_Tooltip_modifier_item_0622,Starbreak
DOTA_Tooltip_modifier_item_0622_Description,"When physical damage crits, has a chance to apply 1 stack of Vulnerability to the target."
DOTA_Tooltip_modifier_item_P051_nature_gift,Nature's Elixir
DOTA_Tooltip_modifier_item_P051_nature_gift_Description,Increases base health and grants immunity to poison effects.
DOTA_Tooltip_modifier_item_P052_antidote,Antidote
DOTA_Tooltip_modifier_item_P052_antidote_Description,Reduces poison damage taken significantly.
DOTA_Tooltip_modifier_item_P053_lightning_potion,Lightning Potion
DOTA_Tooltip_modifier_item_P053_lightning_potion_Description,Unleashes a lightning chain on primary attack hit.
DOTA_Tooltip_modifier_item_P054_thunderclap_potion,Thunderclap
DOTA_Tooltip_modifier_item_P054_thunderclap_potion_Description,Stuns the monster on the next primary attack hit; forcibly triggers a counter if the monster is casting.
DOTA_Tooltip_modifier_item_P055_potion,Magic Resistance Potion
DOTA_Tooltip_modifier_item_P055_potion_Description,Magic resistance increased.
DOTA_Tooltip_modifier_item_M223_thunderized,Thunderized
DOTA_Tooltip_modifier_item_M223_thunderized_Description,Greatly reduces lightning damage taken and allows passing through lightning walls.
DOTA_Tooltip_modifier_boss_storm_phase_summon_slow,Thunder Burst Slow
DOTA_Tooltip_modifier_boss_storm_phase_summon_slow_Description,Move speed reduced.
DOTA_Tooltip_modifier_elite_029_web_aura_effect,Web Domain
DOTA_Tooltip_modifier_elite_029_web_aura_effect_Description,"Allied spiders within the web gain move speed and attack speed, enemies' move speed reduced by 20%."
DOTA_Tooltip_modifier_elite_043_slow,Void Erosion
DOTA_Tooltip_modifier_elite_043_slow_Description,"Eroded by void energy, move speed reduced by 75%."
DOTA_Tooltip_modifier_elite_060_slow,Arctic Pursuit
DOTA_Tooltip_modifier_elite_060_slow_Description,Move speed reduced by 40%.
DOTA_Tooltip_modifier_elite_063_no_heal,Frost Blood Drain
DOTA_Tooltip_modifier_elite_063_no_heal_Description,Lifesteal effect reduced by 50%.
DOTA_Tooltip_modifier_elite_136_bramble_slow,Resentful Root Slow
DOTA_Tooltip_modifier_elite_136_bramble_slow_Description,"Severely slowed by roots, move speed reduced by 90%."
DOTA_Tooltip_modifier_elite_137_feast,Cannibal Flower Bite
DOTA_Tooltip_modifier_elite_137_feast_Description,"Rooted and silenced by the cannibal flower, taking continuous damage."
DOTA_Tooltip_modifier_elite_144_empowered_attacks,Empowered Attacks
DOTA_Tooltip_modifier_elite_144_empowered_attacks_Description,The next 3 attacks gain 50% attack speed and restore 15% of max health on hit.
DOTA_Tooltip_modifier_elite_305_borrowed_time,Borrowed Time
DOTA_Tooltip_modifier_elite_305_borrowed_time_Description,Takes no damage; damage taken is converted to healing.
DOTA_Tooltip_modifier_elite_306_swarm_latch,Swarm Latch
DOTA_Tooltip_modifier_elite_306_swarm_latch_Description,"A bug attaches to the target, dealing damage over time. Defeating the bug removes the effect early."
DOTA_Tooltip_modifier_elite_307_collision_slow,Collision Slow
DOTA_Tooltip_modifier_elite_307_collision_slow_Description,Movement speed briefly reduced to a minimum by a Time Slip clone.
DOTA_Tooltip_modifier_elite_308_ground_leash,Ground Leash
DOTA_Tooltip_modifier_elite_308_ground_leash_Description,"Bound near the dart's landing point. Movement speed gradually decreases when moving away from the anchor, and cannot move further beyond the range."
DOTA_Tooltip_modifier_elite_325_guard,Vision Guard
DOTA_Tooltip_modifier_elite_329_non_item_heal_reduction,Frost Heal Reduction
DOTA_Tooltip_modifier_elite_329_non_item_heal_reduction_Description,Health regeneration from non-item sources reduced by 50%.
DOTA_Tooltip_modifier_normal_022_13005_debuff,Fervent Wound
DOTA_Tooltip_modifier_normal_022_13005_debuff_Description,Healing received reduced by 50%%.
DOTA_Tooltip_modifier_normal_022_13005_slow,Fervent Slow
DOTA_Tooltip_modifier_normal_022_13005_slow_Description,Movement speed reduced by 50%%.
DOTA_Tooltip_modifier_normal_029_mana_slow,Void Slow
DOTA_Tooltip_modifier_normal_029_mana_slow_Description,Movement speed reduced by 50%.
DOTA_Tooltip_modifier_normal_042_shield_suppress,Shield Suppression
DOTA_Tooltip_modifier_normal_042_shield_suppress_Description,Basic shield cannot recover.
DOTA_Tooltip_modifier_normal_046_damage_reduction,Flash Guard
DOTA_Tooltip_modifier_normal_046_damage_reduction_Description,Grants 80%% damage reduction.
DOTA_Tooltip_modifier_normal_049_weaken,Weaken
DOTA_Tooltip_modifier_normal_049_weaken_Description,Cannot deal critical strikes.
DOTA_Tooltip_modifier_roshan_003_grabbed,Roshan Grab
DOTA_Tooltip_modifier_roshan_003_grabbed_Description,Grabbed by Roshan and about to be thrown.
DOTA_Tooltip_modifier_generic_ignite,Ignite
DOTA_Tooltip_modifier_generic_ignite_Description,Periodically takes pure damage. Each stack deals a percentage of the caster's (Intelligence + Strength) per second. Stacks can be stacked. Reapplying the burn refreshes the duration.
DOTA_Tooltip_modifier_env_dark_gaze,Dark Gaze
DOTA_Tooltip_modifier_env_dark_gaze_Description,Each stack drains 2%% max health per second. Death at over 10 stacks.
DOTA_Tooltip_modifier_m013_contract_gold,Vessel of Greed
DOTA_Tooltip_modifier_m013_contract_gold_Description,<h1>Reward</h1>Drop quantity greatly increased.<br><br><h1>Cost</h1>At 1 stack: Breaking chests may cause guardians to chase.
DOTA_Tooltip_modifier_m013_contract_gold_2,Vessel of Greed
DOTA_Tooltip_modifier_m013_contract_gold_2_Description,<h1>Reward</h1>Drop quantity massively increased.<br><br><h1>Cost</h1>At 1 stack: Breaking chests may cause guardians to chase.<br>At 2 stacks: Killing elite monsters may cause guardians to chase.
DOTA_Tooltip_modifier_m013_contract_life,Thread of Life
DOTA_Tooltip_modifier_m013_contract_life_Description,<h1>Reward</h1>Each contract stack grants 1 chance to block fatal damage and restore to full health.<br><br><h1>Cost</h1>At 1 stack: Elite monsters gain 1 revival.
DOTA_Tooltip_modifier_m013_contract_life_boss_phase,Thread of Life
DOTA_Tooltip_modifier_m013_contract_life_boss_phase_Description,Enters Phase 2 upon death.
DOTA_Tooltip_modifier_m013_contract_life_2,Thread of Life
DOTA_Tooltip_modifier_m013_contract_life_2_Description,<h1>Reward</h1>Each stack of the contract grants 1 chance to block a fatal hit and restore to full health.<br><br><h1>Cost</h1>At 1 stack: Elite monsters gain 1 revive.<br>At 2 stacks: Bosses gain 1 revive.
DOTA_Tooltip_modifier_m013_contract_life_revive,Weave Revive
DOTA_Tooltip_modifier_m013_contract_life_revive_Description,Currently has %dMODIFIER_PROPERTY_TOOLTIP% revive chance(s); triggers to restore full health and enter a 3-second invulnerable recovery state.
DOTA_Tooltip_modifier_m013_contract_life_recovering,Contract Recovery
DOTA_Tooltip_modifier_m013_contract_life_recovering_Description,"Death's footsteps, held back by an unseen hand."
DOTA_Tooltip_modifier_m013_contract_power,World Eater
DOTA_Tooltip_modifier_m013_contract_power_Description,"<h1>Reward</h1>All stats increased by %dMODIFIER_PROPERTY_TOOLTIP%%, base health increased by %dMODIFIER_PROPERTY_TOOLTIP2%%.<br><br><h1>Cost</h1>At 1 stack: Being hit by elite monster skills adds 5 stacks of backlash.<br>Each stack of backlash reduces all stats and base health by 1%%."
DOTA_Tooltip_modifier_m013_contract_power_2,World Eater
DOTA_Tooltip_modifier_m013_contract_power_2_Description,"<h1>Reward</h1>All stats increased by %dMODIFIER_PROPERTY_TOOLTIP%%, base health increased by %dMODIFIER_PROPERTY_TOOLTIP2%%.<br><br><h1>Cost</h1>At 1 stack: Being hit by elite monster skills adds 5 stacks of backlash.<br>At 2 stacks: Boss and mini-boss skills also add 5 stacks of backlash.<br>Each stack of backlash reduces all stats and base health by 1%%."
DOTA_Tooltip_modifier_m013_contract_power_debt,Contract Backlash
DOTA_Tooltip_modifier_m013_contract_power_debt_Description,All stats and base health reduced by %dMODIFIER_PROPERTY_TOOLTIP%%.
DOTA_Tooltip_modifier_greed_cave_player_poison,Cave Venom
